施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
(一財)双仁会黒石厚生病院,036-0351,青森県黒石市黒石字建石9-1,0172-52-4121,Soujinkai-kousei.jp/kuroisi,有,"月～木 9:30～13:00（受付12:45迄）、
15:00～18:00（受付17:45迄）
金 9:30～13:00（受付12:45迄）
土 9:00～13:00（受付12:45迄）
※第2、4土曜休診",有,青森県,黒石市,02204,40.654636,140.578476
(一財)双仁会青森厚生病院,038-0042,青森県青森市大字新城字山田488-1,017-788-3121,http://www.soujinkai-kousei.jp,有,月・水・木・金 8:30～12:00,無（院外処方）,青森県,青森市,02201,40.83411,140.676331
安斎レディスクリニック,037-0016,青森県五所川原市字一ツ谷５３６－１８,0173-33-1103,,有,"平日 8:30～17:30
土 8:30～12:00",有,青森県,五所川原市,02205,40.812798,140.453247
いちろうクリニック,036-8082,青森県弘前市大字早稲田四丁目１－５,0172-26-1692,,有,"月～金 9:00～11:30、14:00～17:30
土 9:00～11:30、13:00～14:30
木・日・祝日 休診（変更になる場合あ
り）",有,青森県,弘前市,02202,40.604523,140.513885
"医療法人白心会北村医院む
つレディスクリニック",035-0031,青森県むつ市柳町一丁目9-55,0175-22-2135,,有,"月～木 9:00～18:30
金 9:00～17:00
土 9:00～13:00",有,青森県,むつ市,02208,41.298183,141.21434
"医療法人施仁会ゆざわ産婦
人科クリニック",036-8183,青森県弘前市大字品川町４８－１,0172-35-4635,www.sakurac.com/,有,"平日 8:00～21:00
土日も同じ。他の時間帯も電話連絡で対
応可",有,青森県,弘前市,02202,40.595592,140.477066
医療法人一松堂医院,031-0087,青森県八戸市朔日町37,0178-22-0025,"http://www.isshoudoutaneichi.c
om/",有,"月・火・木・金 9:00～17:30
水・土 9:00～11:30",有,青森県,八戸市,02203,40.510021,141.493729
エフ．クリニック,030-0843,青森県青森市浜田三丁目３－７,017-729-4103,https://efclinic.com,有,"平日 9:00～18:00
土 9:00～13:00",有,青森県,青森市,02201,40.798649,140.750275
エルム女性クリニック,037-0036,青森県五所川原市中央四丁目９３番地,0173-38-4188,elm-j-clinic.com,有,"月～木9:30～12:00、14:00～17:00
金 9:30～12:00、14:30～17:00
水 9:30～12:00
土 9:30～12:30",有,青森県,五所川原市,02205,40.797218,140.451691
柏崎メディカルクリニック,031-0081,青森県八戸市柏崎３丁目7-18,0178-45-7777,https://www.k-medical.jp,有,"月～土 9:00～12:00
月・火・水・金 14:00～18:00
土曜（第2、4）13:00～15:00
※ただし、土曜（第２、４）について
は、婦人科診察日のみ対応。",有,青森県,八戸市,02203,40.512123,141.503693
加藤レディースクリニック,038-3142,青森県つがる市木造赤根１３－１４３,0173-26-7068,katoh-lc@muse.ocn.ne.jp,有,"平日 8:30～17:30
木・土 8:30～11:30
休診日 日・祝、木・土（午後）",有,青森県,つがる市,02209,40.814068,140.395142
"しらとりレディスクリニッ
ク",036-8154,青森県弘前市大字豊原二丁目１－２,0172-33-2822,"http://www.r20.7-
dj.com/-ych5s/",有,"月、水～金、日 9:30～12:00
土 10:30～12:00
月～金 16:00～19:00（木曜 17:00～
19:00）
その他時間外等については電話対応によ
り随時",有,青森県,弘前市,02202,40.581516,140.476334
"しんクリニック産婦人科・
皮ふ科",034-0037,青森県十和田市穂並町10-12,0176-22-7711,,有,"月・火・木・金 9:00～12:00、14:00～
17:30
水・土 9:00～12:00",有,青森県,十和田市,02206,40.605194,141.222534
"たけうちマザーズクリニッ
ク",039-1165,青森県八戸市石堂４丁目15-10,0178-20-6556,"http://takeuchi-
m.byoinnavi.jp/pc/index.html",有,"月・火・木・金 9:00～12:30、15:00～
18:00
水・土 9:00～12:30",有,青森県,八戸市,02203,40.5341,141.479919
中央レディスクリニック,035-0073,青森県むつ市中央二丁目5番5号,0175-24-3151,chuo-ladies.jp,有,"平日 8:30～18:00
木・土 8:30～12:00",有,青森県,むつ市,02208,41.28838,141.185745
"つがる西北五広域連合つが
る総合病院",037-0074,青森県五所川原市字岩木町12番地3,0173-35-3111,"www.tsgren.jp/tsugaru-general-
hospital/",有,平日 8:00～17:00,無,青森県,五所川原市,02205,40.807777,140.440369
"苫米地レディースクリニッ
ク",039-1167,青森県八戸市沢里字沢内36-1,0178-47-5651,http://www.tomabechi-ladys.jp/,有,"月・火・水・金 9:00～12:00、14:30～
18:00
木 9:00～12:00
土 9:00～12:00",有,青森県,八戸市,02203,40.494061,141.47644
弘前レディスクリニック,036-8004,"青森県弘前市大字駅前町８－１弘前駅前地区共同ビル３
Ｆ",0172-35-2110,oc-hirosaki.com/hlc-uer2.html,有,"平日 9:00～12:00、14:00～18:00
水・土 9:00～12:00",有,青森県,弘前市,02202,40.597603,140.482544
