施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
岩手県立中央病院,020-0066,岩手県盛岡市上田1丁目4番1号,019-653-1151,http://www.chuo-hp.jp/,有,終日,有,岩手県,盛岡市,03201,39.712734,141.146545
西島産婦人科,020-0066,岩手県盛岡市上田一丁目19-11,019-624-5855,―,有,"月･火･水･金9:00-18:00
木･土9:00-12:00",有,岩手県,盛岡市,03201,39.71172,141.140671
"医療法人一舟会
みうら産婦人科医院",020-0855,岩手県盛岡市上鹿妻田貝11番地1,019-658-1139,,有,"月･火･木･金8:30-12:30、14:00-18:00
水8:30-12:30
土8:30-13:00",有,岩手県,盛岡市,03201,39.681442,141.105896
今井産婦人科内科クリニック,020-0877,岩手県盛岡市下ノ橋町1-5,019-623-4881,http://www.imai-clinic-morioka.com/,有,"月～金曜日：9：00-12：30、
14：30-18：30
土曜日：9：00-14：00",有,岩手県,盛岡市,03201,39.698303,141.151703
産婦人科内科幸クリニック,020-0021,岩手県盛岡市中央通一丁目5番18号,019-625-1103,―,有,"月･火･木･金9:00-18:00
水15:00-18:00
土9:00-13:00",有,岩手県,盛岡市,03201,39.706558,141.148544
盛岡友愛病院,020-0834,岩手県盛岡市永井12-10,019-638-2222,http://www.yu-ai.net/,有,"平日9:00-15:30
土曜(第1･3･5）9:00-11:00",有,岩手県,盛岡市,03201,39.658443,141.136826
"社団医療法人啓愛会
孝仁病院",020-0052,岩手県盛岡市中太田泉田28番地,019-656-2888,http://www.kojin-hp.jp/,有,"月･火･金8:30-11:30
水8:30-11:30、13:00-16:30
(但し第4週休診)
土8:30-11:30，13:00-16:30",有,岩手県,盛岡市,03201,39.700661,141.110229
夕顔瀬内科産婦人科医院,020-0064,岩手県盛岡市梨木町6-12,019-622-6519,http://www.yuugaoseclinic.com/,有,"平日9:00-12:30、14:15-18:00
土曜9:00-13:00",有,岩手県,盛岡市,03201,39.709492,141.134521
"医療法人
さいとうレディスクリニック",020-0033,岩手県盛岡市盛岡駅前北通3-33,019-621-3555,https://saito-ledies.jp/,有,"月･木10:00-13:00、16:00-18:45
火･水･金･土10:00-13:00
(第2･4土･日･祝日 休診)",有,岩手県,盛岡市,03201,39.704456,141.136215
産科婦人科吉田医院,020-0886,岩手県盛岡市若園町10番4号,019-622-9433,"http：//www.yoshidaiin.com/
ホームページ変更予定で変わる可能性あります",有,"平日9：00-18：30
水曜日9：00-12：00
土曜日9：00-14：00
診療時間中、時間外・休日は電話で相談",有,岩手県,盛岡市,03201,39.702419,141.159592
村井産婦人科医院,020-0874,岩手県盛岡市南大通２町目4-8,019-654-0155,https://murai-sanfujinka.jp/,有,"平日9:00-17:00
土曜9:00-12:30",有,岩手県,盛岡市,03201,39.694633,141.154175
やはば産婦人科,028-3609,岩手県矢巾町医大通2-4-6,019-698-1122,http://yahaba-sanfujinka.com/,有,"月･火･水･金8:30-17:30
木･土8:30-12:30",有,岩手県,紫波郡矢巾町,03322,39.613689,141.164749
岩手県立宮古病院,027-0096,岩手県宮古市崎鍬ヶ崎1-11-26,0193-62-4011,http://www.miyako-hp.jp/,有,"診療時間内
平日8:30-17:15",有,岩手県,宮古市,03202,39.66938,141.958237
松井産婦人科医院,027-0086,岩手県宮古市新町3-11,0193-62-1617,―,有,"平日8:30-17:30
土曜日8:30-12:00",有,岩手県,宮古市,03202,39.643448,141.952896
佐藤産婦人科小児科医院,024-0092,岩手県北上市新穀町1丁目5番28号,0197-63-6262,―,有,"平日9:00－12:30、14:00－17:45
木、土曜9:00－12:30",有,岩手県,北上市,03206,39.290661,141.112
医療法人 齊藤産婦人科医院,024-0034,岩手県北上市諏訪町二丁目6-37,0197-64-2136,―,有,"平日8:30-17:30
木曜．土曜8:30-12:00",有,岩手県,北上市,03206,39.287556,141.119049
北上済生会病院,024-8506,岩手県北上市花園町一丁目6番8号,0197-64-7722,http://www.saiseikai-hp.or.jp/,有,24時間,有,岩手県,北上市,03206,39.2883,141.121567
岩手県立中部病院,024-8507,岩手県北上市村崎野17地割10番地,0197-71-1511,http://www.chubu-hp.com/,有,24時間救急対応可能,有,岩手県,北上市,03206,39.329899,141.104996
医療法人愛心会KUBOクリニック,025-0082,岩手県花巻市御田屋町1番69号,0198-21-1103,―,有,"月･火･木･金9:00-16:30
土9:00-11:30",有,岩手県,花巻市,03205,39.38744,141.122086
産婦人科おいなお医院,023-1101,岩手県奥州市江刺岩谷堂小境11,0197-34-3033,―,有,"平日14:30-17:00
木･土9:00-11:30(緊急時電話予約)",有,岩手県,奥州市,03215,39.191277,141.169617
小見レディースクリニック,023-0053,岩手県奥州市水沢大手町四丁目8番地,0197-24-6657,http://omi-ladies.com/,有,"平日9:00－12:00、14:00－18:00
土曜9:00－12:00",有,岩手県,奥州市,03215,39.145405,141.140564
レディースクリニック清水医院,023-0817,岩手県奥州市水沢宮下町40,0197-24-6647,https://oshu.mypl.net/shop/00000348495/,有,"平日8:30-12:00、14:00-17:45
木曜日8:30-12:00
土曜8:30-13:00",有,岩手県,奥州市,03215,39.137482,141.139435
医療法人博愛会 一関病院,021-0884,岩手県一関市大手町3-36,0191-23-2050,http://www.ichi-hp.jp/,有,"平日9:00-11:00
土9:00-11:00(第2･4土曜日のみ)",有,岩手県,一関市,03209,38.929901,141.135025
岩手県立磐井病院,029-0192,岩手県一関市孤禅寺字大平17番地,0191-23-3452,http://www.iwai-hp.com/,有,24時間,無,岩手県,一関市,03209,38.934753,141.126755
産婦人科 野田,021-0852,岩手県一関市沢21,0191-23-0608,https://www.sanfnoda.com/,有,"平日9:00-18:00
木曜休診
土･日9:00-12:30",有,岩手県,一関市,03209,38.919952,141.140305
"医療法人
コスモスレディースクリニッ
ク",021-0885,岩手県一関市田村町5-56,0191-31-1103,http://www.cosmos-ladies-clinic.com/,有,"午前受付時間(月～土)8:30-12:00、午後
受付時間(火･水･金)14:30-18:00
心館受付は午前･午後受付終了30分前ま
で。女性医師は平日午前中のみ。",有,岩手県,一関市,03209,38.930393,141.132416
