施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
あおば通りかずみクリニック,980-0804,宮城県仙台市青葉区大町１－１－５グレイス大町３F,022-724-7294,https://www.kazumi-clinic.com/,有,"平日：9:00～12:00、14:00～16:00
土曜：12:00～14:00",有,宮城県,仙台市青葉区,04101,38.25948,140.870407
ウィメンズクリニック金上,981-1505,宮城県角田市角田字田町114-12,0224-61-2001,www.womensclinic-k.or.jp,有,診療時間時間内,有,宮城県,角田市,04208,37.973587,140.786377
おざわ女性総合クリニック,984-0073,宮城県仙台市若林区荒町192,022-222-9716,http://happy-ozawa.jp,有,"月、火、水、金：8:30－18:00
木、土：8:30-12:30",有,宮城県,仙台市若林区,04103,38.249546,140.886154
きたのはら女性クリニック,980-0803,宮城県仙台市青葉区国分町2-2-5 柴崎ビル8F,022-722-2077,http://www.kitanohara.com,有,"月、火、木、金：12:00-14:00、16:00-20:00
水、土：10:00-13:00、14:00-16:00
日：10:00-12:30
休診の土日有り注意
休診日でもできる限り対応
要メール",有,宮城県,仙台市青葉区,04101,38.262203,140.8694
セイントマザークリニック,980-0824,宮城県仙台市青葉区支倉町1-31,022-263-8001,http://www.saint-mothers.jp,有,"月～土：9:00～12:00、14:00～17:00
※水・土曜日午後および日曜祝日は休診",有,宮城県,仙台市青葉区,04101,38.266331,140.8629
中川記念ちか子女性クリニック,989-6162,宮城県大崎市古川駅前大通6－1－23,0229-23-0655,http://www.nakagawa-sanfujinka.jp/,有,"月・火・木・金：9：00～17：30
水・土：9：00～12：00",有,宮城県,大崎市,04215,38.578365,140.96611
スズキ記念病院,989-2481,宮城県岩沼市里の杜3丁目5番5号,0223-23-3111,http://www.suzuki-hospital.jp/,有,平日：9:00～18:00 土曜：9:00～13:00,有,宮城県,岩沼市,04211,38.10902,140.878571
医療法人友仁会 松島病院,981-0215,宮城県宮城郡松島町高城字浜1-26,022-354-5811,www.matushimahospital.com,有,"平日：9:00～16:30
土曜：9:00～11:30
日祝：休診",有,宮城県,宮城郡松島町,04401,38.378021,141.070023
向仁会 永井産婦人科,980-0824,宮城県仙台市青葉区支倉町4-3,022-222-5582,http://www.nagai-obgyne.com/,有,"月・火・木・金：9：00～12：30、14：30～17：30
水・土：9：00～12：30",有,宮城県,仙台市青葉区,04101,38.269703,140.861771
公益財団法人宮城厚生協会 坂総合クリニック,985-0835,宮城県多賀城市下馬2丁目13-7,022-365-5175,https://www.m-kousei.com/saka/about/clinic/message.html,有,平日：9：00～17：00、土曜：9:00-12:30,有,宮城県,多賀城市,04209,38.305962,141.015411
