医療機関名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
いけがみレディースクリニック,018-5201,秋田県鹿角市秋田県鹿角市花輪字合ノ野２４５－７,0186-30-0111,https://ikegami-lc.com/,有,"月・火・木・金曜：9:00-12:00、14:00-18:00
水・土曜：9:00-12:00
受診受付は終了30分前まで",有,秋田県,鹿角市,05209,40.21579,140.788513
大館市立総合病院,017-0855,秋田県大館市立総合病院豊町3番1号,0186-42-5370,https://www.odate-hp.odate.akita.jp/,有,24時間,無（院外薬局対応）,秋田県,大館市,05204,40.272869,140.503677
石塚医院,017-0828,秋田県大館市向町２３,0186-42-2020,―,有,"月・火・木・金曜：8:30-12:00、14:00-18:00
水・土曜：8:30-12:00",有,秋田県,大館市,05204,40.268936,140.562546
北秋田市民病院,018-4221,秋田県北秋田市下杉字上清水沢16-29,0186-62-7001,https://www.kitaakita-hp.jp/,有,平日：8：30～17：00,無,秋田県,北秋田市,05213,40.166767,140.360352
能代厚生医療センター,016-0014,秋田県能代市落合字上前田地内,0185-52-3111,www.yamamoto-hosp.noshiro.akita.jp,有,24時間,有,秋田県,能代市,05202,40.228302,140.023987
独立行政法人地域医療機能推進機構秋田病院,016-0851,秋田県能代市緑町5番22号,0185-52-3271,https://akita.jcho.go.jp,有,平日9：30～16：00,有,秋田県,能代市,05202,40.198753,140.03418
関口レディースクリニック,016-0185,秋田県能代市字下瀬３０－４,0185-53-5121,―,有,"月・火・木・金曜：9:00-12:00、14：30-17：30
土曜：9:00-12:00",有,秋田県,能代市,05202,40.187057,140.037262
成田産婦人科医院,016-0832,秋田県能代市南元町１－１７,0185-52-3317,http://userweb.alles.or.jp/nariko/iin/index.html,有,"月・火・水・金曜：9:00-17:30
木・土曜：9:00-12:00",有,秋田県,能代市,05202,40.20483,140.032791
たかはしレディースクリニック,016-0864,秋田県能代市字鳥小屋５９－２３,0185-55-0033,―,有,"月・火・木・金曜：9:00-12:00、14：00-18：00
水・土曜：9:00-12:30",有,秋田県,能代市,05202,40.198704,140.017883
地方独立行政法人市立秋田総合病院,010-0933,秋田県秋田市川元松丘町４番３０号,018-823-4171,https://akita-city-hospital.jp/,有,24時間対応可能,有,秋田県,秋田市,05201,39.712769,140.102997
秋田厚生医療センター,011-0948,秋田県秋田市飯島西袋1丁目1番1号,018-880-3000,www.akikumihsp.com,有,24時間対応,有,秋田県,秋田市,05201,39.767624,140.093079
