施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
明治病院,960-8102,福島県福島市北町2番40号,024-521-0805,http://meiji.or.jp/,有,平日 8:30-12:00 14:00-18:00 土 8:30-12:00 14:00-16:00,有,福島県,福島,37.753933,140.470749
福島西部病院,960-8071,福島県福島市東中央三丁目15番地,024-533-2121,https://www.keiai-kai.or.jp,有,月・火・木・金・土 9:00-12:00 水 9:00-12:00 14:00-16:00,有,福島県,福島,37.76215,140.437119
福島総合病院,960-1101,福島県福島市大森字下原田25番地,024-544-5171,http://www.saisei.ecnet.jp/,有,平日 8:30～11:30 土曜(第2.4.5) 8:30-11:30,有,福島県,福島,37.723709,140.444046
大原綜合病院,960-8611,福島県福島市上町6番1号,024-526-0300,http://www.ohara-hp.or.jp,有,24時間 年中無休,有,福島県,福島,37.753292,140.468231
菅野産婦人科医院,960-8157,福島県福島市蓬莱町2-1-11,024-548-2525,0,有,月.火.水.金 9:00～18:00 木.土 9:00-12:00,有,福島県,福島,37.700203,140.469711
二瓶産婦人科医院,960-0101,福島県福島市瀬上町字明光町23-1,024-554-2323,0,有,平日 9:00-18:00 木曜 9:00-12:00 土曜 9:00-17:00,有,福島県,福島,37.803612,140.488647
本田クリニック産科婦人科,960-1101,福島県福島市大森字赤沢97-6,024-545-3500,http://www.honcli.or.jp/,有,24時間,有,福島県,福島,37.736694,140.450043
いちかわクリニック,960-0112,福島県福島市南矢野目字鼓田6-1,024-554-0303,http://ichikawacl.com/,有,平日(月～金) 8:30-11:30 土曜 8:30-11:30 平日(月.火.木.金) 13:00-17:30,有,福島県,福島,37.785244,140.467255
ABCクリニック新妻産婦人科,960-8032,福島県福島市陣場町9-18,024-533-1103,0,有,24時間,有,福島県,福島,37.758335,140.46312
西口クリニック婦人科,960-8053,福島県福島市三河南町10-5,024-525-6388,0,有,月.土 9:30～16:00 火～金 9:30-19:00,有,福島県,福島,37.756859,140.455902
大川レディースクリニック,960-8152,福島県福島市鳥谷野字天神3-11,024-545-8883,https://www.okawa-ladies.com/,有,月.火.木.金 9:30～19:00 水.土 9:30-13:00,有,福島県,福島,37.737179,140.468246
やざわみほこレディースクリニック,960-8003,福島県福島市森合字高野1-23,024-573-5881,,有,平日(月.火.木.金) 9:00～18:00 水.土 9:00-12:30 (日曜.祝日 休み),有,福島県,福島,37.768497,140.444427
本田レディスクリニック,964-0917,福島県二本松本町1-229,0243-22-0301,0,有,平日 9:00-18:00 土曜 9:00-16:00,有,福島県,二本松本町,37.584782,140.431198
土川産婦人科医院,964-0905,福島県二本松市松岡265-16,0243-22-0035,0,有,平日 8:30-18:30 土曜 8:30-16:30,有,福島県,二本松市,37.590115,140.431229
渡辺医院,964-0876,福島県二本松市正法寺町186-1,0243-62-3000,www.watanabe-fns.com,有,月.火.木.金 8:30-12:30 15:00-17:45 水.土 8:30-12:30,有,福島県,二本松市,37.581947,140.421707
二本松ウイメンズクリニック,964-0911,福島県二本松市亀谷1-275-4,0243-24-1322,http://www.n-w-cl.jp/,有,平日 8:30-17:30 土曜 8:30-15:30,有,福島県,二本松市,37.591644,140.442551
岡崎産婦人科,963-0107,福島県郡山市安積2-335,024-945-8080,http://www.okazaki.or.jp,有,24時間,有,福島県,郡山市,37.3591,140.363922
桜井産婦人科医院,963-8014,福島県郡山市虎丸町23-18,024-932-1637,https://www.sakurai-cl.net/,有,月.火.水.金 9:00-11:00 13:30-16:30 木.土 9:00-11:00,有,福島県,郡山市,37.398159,140.377808
塚原産婦人科内科外科医院,963-8025,福島県郡山市桑野2丁目34-12,024-922-5789,0,有,平日 9:00-19:00 土曜 9:00-18:00 ※日曜.祝日 問い合わせ不可,有,福島県,郡山市,37.402332,140.352463
美術館通りクリニック,963-8806,福島県郡山市字下舘野23-4,024-956-0303,0,有,月.火.水.金 9:00-12:00 14:00-17:00 土 9:00-12:00,有,福島県,郡山市,37.396328,140.405075
ロマリンダクリニック,963-8002,福島県郡山市駅前2-11-1,024-924-1161,https://www.lomalinda-jp.com/,有,平日 10:00-17:00 土曜 10:00-13:00,有,福島県,郡山市,37.399582,140.387833
小野レディスクリニック,963-0105,福島県郡山市安積町長久保3丁目10番3,024-937-3755,0,有,平日(月.火.水.金) 9:30-11:30 14:30-17:30 土曜 9:30-11:30 14:30-15:30 (木は休診),有,福島県,郡山市,37.358101,140.361374
トータルヘルスクリニック,963-8841,福島県郡山市字山崎171,024-927-0325,http://ｗｗｗ.jihankai.jp/,有,月.火.木.土.第1日曜 9:30-14:00 15:00-18:00 金 9:30-14:00,有,福島県,郡山市,37.377686,140.368347
あべウイメンズクリニック,963-8071,福島県郡山市富久山町久保田字伊賀河原6-1,024-923-4188,http://ｗｗｗ.abe-wclinic.jp,有,平日(月～金) 8:30-18:30 (木) 8:30-12:30 土曜 8:30-15:30,有,福島県,郡山市,37.413582,140.371948
モミの木クリニック,963-0207,福島県郡山市鳴神1-1-1,024-926-0131,http://ｗｗｗ.mominoki-cl.jp,有,月.水.金 8:30-12:30 16:00-18:00 土 8:30-12:30 14:00-18:00 火.木 8:30-12:30 (日曜祝日 休診),有,福島県,郡山市,37.396927,140.339508
公立岩瀬病院,962-8503,福島県須賀川市北町20,0248-75-3111,http://ｗｗｗ.iwase-hp.jp,有,24時間,有,福島県,須賀川市,37.294666,140.373962
小林医院,962-0838,福島県須賀川市南町30-10,0248-76-1565,0,有,月.火.木.金.土 8:30-12:00 14:00-17:00 (祝日.水曜.日曜 休み),有,福島県,須賀川市,37.280209,140.3703
清水産科婦人科クリニック,962-0034,福島県須賀川市一里坦14番地の4,0248-76-8555,0,有,月.火 14:00-17:30 水.金.土 9:00-17:30,有,福島県,須賀川市,37.276356,140.364502
白河厚生総合病院,961-0005,福島県白河市豊地上弥次郎2番地1,0248-22-2211,http://www.shirakawa-kosei.jp/,有,平日 8:30-12:30 土曜(第2.4.5) 8:30-12:30,有,福島県,白河市,37.145393,140.214996
片倉医院 産科婦人科,961-0971,福島県白河市昭和町1,0248-23-2459,0,有,月.火.水.金 9:00-18:00 木 9:00-12:30 土 9:00-16:00,有,福島県,白河市,37.13015,140.202942
円谷産婦人科医院,961-0957,福島県白河市道場小路62-2,0248-23-4030,http://sma.or.jp/cms/archives/1010,有,医師在宅時はいつでも対応可能,有,福島県,白河市,37.129684,140.206909
坂下厚生総合病院,969-6593,福島県河沼郡会津坂下町逆水50,0242-83-3511,0,有,平日 8:30-17:00 土曜 8:30-12:30 (第1.第3土曜休診),有,福島県,河沼郡会津坂下町,37.559994,139.813705
なるせとみこレディースクリニック,965-0024,福島県会津若松市白虎町66-1,0242-37-7851,0,有,月.火.木.金 9:00-17:30 水 9:00-12:30 土 9:00-15:00,有,福島県,会津若松市,37.506821,139.935257
あみウイメンズクリニック,965-0009,福島県会津若松市八角町4-21,0242-37-1456,http://ami-clinic.jp,有,"月～金 9:30-12:00 15:00-17:45 水.土 9:30-12:00
(※初診の方は終了30分前まで)",有,福島県,会津若松市,37.502613,139.943634
常盤病院,972-8322,福島県いわき市常盤上湯長谷町上ノ台57,0246-81-5522,0,有,24時間365日,有,福島県,いわき市,37.003742,140.88858
村岡産婦人科医院,971-8151,福島県いわき市小名浜岡小名4丁目7-1,0246-92-4578,0,有,平日 8:30-16:00 土 8:30-16:00 日 8:30-12:00,有,福島県,いわき市,36.961933,140.910568
渡辺産科婦人科,972-8318,福島県いわき市常盤関船町二丁目7-1,0246-42-4567,https://watanabe-oag.jimdo.com/,有,平日 9:00-12:00 14:00-18:00 土 9:00-12:30,有,福島県,いわき市,37.003742,140.88858
