施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
つくばセントラル病院,300-1211,茨城県牛久市柏田町1589-3,029-872-1771,http//www.ccentral.or.jp,有,月～土：受付午前8:00-11:30,有,茨城県,牛久市,08219,35.981979,140.157364
ひたちなか母と子の病院,312-0056,茨城県ひたちなか市青葉町19-7,029-273-2888,https://www.hahatoko.com/,有,9:00～17:00(土9:00～12:00),有,茨城県,ひたちなか市,08221,36.387066,140.534821
加瀬病院,312-0033,茨城県ひたちなか市市毛835,029-273-2071,http://www.kasehp.jp,有,随時,有,茨城県,ひたちなか市,08221,36.401569,140.505737
独立行政法人国立病院機構霞ヶ浦医療センター,300-8585,茨城県土浦市下高津2-7-14,029-822-5050,http://kasumigaura.hosp.go.jp/,有,平日8:30～18:00土9:00～13:00日9:00～13:00,有,茨城県,土浦市,08203,36.072239,140.193253
医療法人 岩崎病院,310-0852,茨城県水戸市笠原町1664-2,029-241-8700,,有,平日8：30-16：30,有,茨城県,水戸市,08201,36.335625,140.444321
茨城県立中央病院,309-1793,茨城県笠間市鯉淵6528,0296-77-1121,http://www.hospital.pref.ibaraki.jp,有,問い合わせは24時間可能,有,茨城県,笠間市,08216,36.35038,140.324402
江幡産婦人科・内科病院,301-0024,茨城県水戸市備前町4-11,029-224-3223,http://www.ebata.or.jp/,有,平日8：30-17：00 土8：30-11：00,有,茨城県,龍ケ崎市,08208,36.375996,140.464325
県北医療センター高萩協同病院,319-0004,茨城県高萩市上手綱上ヶ穂町1006-9,0293-231122,http://takahagi-kyodo-hp.jp/,有,平日8:30-17:00,有,茨城県,高萩市,08214,36.74979,140.655869
社会医療法人社団光仁会 総合守谷第一病院,302-0102,茨城県守谷市松前台1T目17番地,0297-45-5111,https://www.moriya.daiichi.or.jp/,有,24時間対応,有,茨城県,守谷市,08224,35.968082,139.967514
医療法人慈愛会秋葉産婦人科病院,306-0013,茨城県古河市東本町2-9-2,0280-32-3335,http://www.akiba-hp.jp/,有,月火木金9：00～12：00/14：00～17：00 土9：00～14：00,有,茨城県,古河市,08204,36.194237,139.715973
社会医療法人 達生堂 城西病院,307-0001,茨城県結城市大字結城10745-24,0296-33-2111,http://www.josai-hp.com/,有,平日9：00～18：00 土9：00～13：00,無,茨城県,結城市,08207,36.305756,139.851334
総合病院 水戸協同病院,310-0015,茨城県水戸市宮町3丁目2番7号,029-231-2371,http://www.mitokyodo-hp.jp/,有,0,無,茨城県,水戸市,08201,36.373516,140.470856
茨城西南医療センター病院,306-0433,茨城県猿島郡境町2190,0280-87-8111,http://www.seinan-mch.or.jp/,有,0,無,茨城県,猿島郡境町,08546,36.119019,139.796158
筑波学園病院,305-0854,茨城県つくば市 上横場2573-1,029-836-1355,http://www.gakuen-hospital.or.jp,有,平日9：00-17：00 土9：00-12：30,有,茨城県,つくば市,08220,36.038418,140.095901
東京医科大学茨城医療センター,300-0395,茨城県阿見町中央3-20-1,029-887-1161,http://ksm.tokyo-med.ac.jp/,有,0,0,茨城県,阿見町,,36.037308,140.215683
友愛記念病院,306-0232,茨城県古河市東牛谷707,0280-97-3000,https://www.yuai-hosp-jp.org/,有,0,無,茨城県,古河市,08204,36.206947,139.744492
さくらがわ地域医療センター,309-1246,茨城県桜川市高森1000,0296-54-5100,http://www.sakuragawa-mc.jp,有,金9:00-12:00/14:00-16:00（祝日不可）,有,茨城県,桜川市,08231,36.34359,140.070236
医療法人博郁会 椎名産婦人科,300-1234,茨城県牛久市中央5-12-20,019-872-0799,,有,月火木金9:00～12:00 15:00～17:00 土9:00～12:00 日9:00～10:30,有,茨城県,牛久市,08219,35.97776,140.142639
前島レディースクリニック,305-0035,茨城県つくば市松代4-10-12,029-859-0726,http:www1.ttcn.ne.jp/-maejima-l-clinin,有,平日 9:30-12:00、14:00-17:00 土9:30-13:00,有,茨城県,つくば市,08220,36.065117,140.104858
なないろレディースクリニック,305-0054,茨城県つくば市西大沼636-10,029-860-7716,http://www.nanairo.or.jp,有,平日9:00-18:00 土水9:00-12:00,有,茨城県,つくば市,08220,36.054771,140.105637
