施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
高橋レディスクリニック,３２０－００２１,栃木県宇都宮市東塙田１－５－１,028-624-0130,www.takahashi-lc.or.jp,有,"平日9:00-12:00、15:00-17:00
土9:00-12:00、15:00-16:00",有,栃木県,宇都宮市,09201,36.565968,139.889893
宇都宮中央クリニック,３２０－０８０６,栃木県宇都宮市中央１－７－１,028-636-1121,www.centralclinic.or.jp,有,"平日・土曜
10:00-12:00、15:00-18:00",有,栃木県,宇都宮市,09201,36.558975,139.882141
平尾産婦人科医院,３２０－０８５７,栃木県宇都宮市鶴田３－１－４,028-648-5222,www.hirao.jp,有,"月水金8:30-12:00、14:00-17:30
水土8:30-12:00、木14:00-17:30",有,栃木県,宇都宮市,09201,36.563477,139.849442
かわつクリニック,３２０－０８６７,栃木県宇都宮市大寛２－２－２６,028-639-1118,kawatsu-cl.jp/,有,"月火水金9:00-12:30、15:00-18:00
木土9:00-12:30",有,栃木県,宇都宮市,09201,36.557476,139.874039
うえの医院,３２０－０８６７,栃木県宇都宮市大寛２－５－７,028-636-8707,www.uenoiin.net,有,"月火木9:30-12:30、14:30-18:30
金9:30-12:30 土9:30-12:30、14:30-
17:30",有,栃木県,宇都宮市,09201,36.5588,139.874191
アルテミス宇都宮クリニック,３２１－０１１８,栃木県宇都宮市インターパーク５－１－９,028-655-5600,www.auc.med-apple.co.jp,有,"平日9:00-18:00
土9:00-17:00",有,栃木県,宇都宮市,09201,36.490681,139.90419
こいけレディスクリニック,３２１－０１３９,栃木県宇都宮市若松原３－１－２,028-688-3588,,有,"月水金9:00-13:00、15:00-17:00
火木土9:00-13:00",有,栃木県,宇都宮市,09201,36.505318,139.864059
もちづき女性クリニック,３２１－０１６１,栃木県宇都宮市双葉１－２－１,028-678-4165,mjcl.jp,有,"月火木金、9:30-12:30 15:00-18:30
水土9:30-12:30",有,栃木県,宇都宮市,09201,36.528271,139.862823
福泉医院,３２１－０９２４,栃木県宇都宮市下栗１－１－１,028-639-1122,,有,"平日土9:00-12:00、14:30-18:00
木9:00-12:00",有,栃木県,宇都宮市,09201,36.540283,139.899338
高橋あきら産婦人科,３２１－０９４１,栃木県宇都宮市東今泉２－２－１６,028-663-1103,,有,"平日9:00-12:00、14:00-18:00
水午後休診 土9:00-12:00、14:00-16:00",有,栃木県,宇都宮市,09201,36.558891,139.919434
かしわぶち産婦人科,３２１－０９７１,栃木県宇都宮市海道町７０－８,028-663-3715,www.babys-net.com/kasiwabuti,有,平日土曜 8:00-24:00,有,栃木県,宇都宮市,09201,36.602661,139.92392
済生会宇都宮病院,３２１－０９７４,栃木県宇都宮市竹林町９１１－１,028-626-5500,www.saimiya.com,有,平日9:00-17:30,無,栃木県,宇都宮市,09201,36.579189,139.89743
ちかざわＬａｄｉｅｓ’クリニック,３２１－０９８２,栃木県宇都宮市城東１－２－５,028-638-2380,mirai-med.org,有,"月水木金9:00-12:00、 15:00-17:30
火土9:00-12:00",有,栃木県,宇都宮市,09201,36.552944,139.901657
ゆめクリニック,３２１－３２２６,栃木県宇都宮市ゆいの杜３－１４－６,028-611-1881,utsunomiya-yumeclinic.jp,有,平日、休日24時間対応可能,有,栃木県,宇都宮市,09201,36.573151,139.990723
栃木産科婦人科医院,３２６－００４７,栃木県足利市錦町１４番地,0284-41-3378,,有,"平日9:00-12:00、15:00-17:00
木曜土曜9:00-12:00",有,栃木県,足利市,09202,36.329414,139.463272
浅岡医院,３２６－００５２,栃木県足利市相生町３８７,0284-41-8188,www.asaokacl.jp,有,"月～木9:30-12:30、 15:00-18:00
金土9:30-12:30",有,栃木県,足利市,09202,36.337116,139.461212
田村レディスクリニック,３２６－００６７,栃木県足利市江川町３－１３－３,0284-43-3006,tamura-ladies.com,有,"月火木金9:00-12:30 15:00-17:30
水土9:00-12:30",有,栃木県,足利市,09202,36.35635,139.4664
かしま産婦人科,３２６－０８４４,栃木県足利市鹿島町５０１－１,0284-65-0341,www.kashimasanfujinka.jp,有,"平日9:00-11:30、15:00-17:00
土9:00-11:30",有,栃木県,足利市,09202,36.348579,139.403214
本庄記念病院,３２６－０８３１,栃木県足利市堀込町２８５９,0284-73-1199,,有,"平日9:00-18:00 火木を除く
土曜9:00-12:00",有,栃木県,足利市,09202,36.319904,139.434875
高田産婦人科医院,３２８－００５３,栃木県栃木市片柳町１－１７－３,0282-24-3211,,有,"平日9:00-12:00、15:00-18:00
木 午後 、金 休診",有,栃木県,栃木市,09203,36.374226,139.722748
おおひらレディスクリニック,３２９－４４０６,栃木県栃木市大平町下皆川７５３,0282-43-8211,https://ohiraladys.com/,有,"月水木土、9:00～17:00
火金9:00-13:00",有,栃木県,栃木市,09203,36.35696,139.708633
丸山レディースクリニック,３２７－０８３１,栃木県佐野市浅沼町８０４－３,0283-22-0022,,有,"月火水金、9:00-12:30 16:00-18:30
木土9:00-12:30 日、祝祭日休み",有,栃木県,佐野市,09204,36.310375,139.592209
岡医院,３２７－０８４５,栃木県佐野市久保町１１０－１,0283-23-9118,www.okasanfujinka.or.jp,有,"平日9:00-11:30、14:00-17:30
木9:00-11:30
土9:00-11:30 14:00-16:30",有,栃木県,佐野市,09204,36.318623,139.586594
城山公園すずきクリニック,３２７－０８４５,栃木県佐野市久保町２６３,0283-22-0195,suzuki-obgy.com,有,"平日8:30-12:30、15:00-18:00
木土曜8:30-12:30",有,栃木県,佐野市,09204,36.318325,139.582596
小林産婦人科医院,３２２－００４５,栃木県鹿沼市上殿町８１７－５,0289-65-7788,kobayashi-sanfujinka-kanuma.com,有,"月～土午前9:00-12:00
月水金のみ午後15:00-18:00",有,栃木県,鹿沼市,09205,36.552784,139.752029
大谷クリニック,３２２－００５１,栃木県鹿沼市久保町１６１８,0289-62-2549,www.oya-d.jp/pc/,有,"月水木金9:00-12:30、 15:00-18:00
土9:00-12:30",有,栃木県,鹿沼市,09205,36.565277,139.74614
大野医院,３２２－００６６,栃木県鹿沼市上田町１９１５－４,0289-65-3661,oono-lc.net,有,"平日9:00-17:00
土9:00-12:00",有,栃木県,鹿沼市,09205,36.566624,139.749878
亀森レディースクリニック,３２１－２３４５,栃木県日光市木和田島３０４６－３,0288-32-2203,www.kamemori.jp,有,"月水木金9:00-12:00、 15:00-18:00
土9:00-12:00",有,栃木県,日光市,09206,36.691757,139.740677
かわなご女性クリニック,３２３－００２２,栃木県小山市駅東通り２－６－１０,0285-25-2101,www.kawanagoclinic.jp,有,"平日9:30-12:30、15:00-18:30
土9:30-12:30、15:00-17:00",有,栃木県,小山市,09208,36.315693,139.810822
やまなかレディースクリニック,３２３－００２８,栃木県小山市若木町２－１１－２０,0285-37-8020,www.yamanaka-lc.com,有,"月～土9:00-12:00、 15:00-17:30
水9:00-12:00 午後休診",有,栃木県,小山市,09208,36.327915,139.808472
樹レディスクリニック,３２３－００３４,栃木県小山市神鳥谷５－１８－１５,0285-20-5505,itsuki-lc.jp,有,"午前9:00-12:30、午後15:00-18:00
水、土は午前のみ日祝は休診",有,栃木県,小山市,09208,36.294384,139.79007
芳賀赤十字病院,３２１－４３０８,栃木県真岡市中郷２７１,0285-82-2195,www.haga.jrc.or.jp,有,"平日8:30-16:50
土(第1.3)8:30-12:00",有,栃木県,真岡市,09209,36.454136,140.016479
岡田・小松崎クリニック,３２１－４３３３,栃木県真岡市大谷本町７－１７,0285-84-1941,,有,"月火水金9:00-12:00、14:00-18:00
木9:00-12:00 土9:00-12:00 14:00-16:00",有,栃木県,真岡市,09209,36.436298,139.99704
西真岡ｱｸｾﾌﾟﾄ･ｲﾝﾀｰﾅｼｮﾅﾙｸﾘﾆｯｸ,３２１－４３４１,栃木県真岡市高勢町３－２０３－１,0285-80-1000,http://nishimoka-accept.clinic/,有,"平日AM9:00-12：00 PM15：00-17：00
土日祝9：00-12：00",有,栃木県,真岡市,09209,36.427246,139.981461
きうち産婦人科医院,３２９－２１４５,栃木県矢板市富田５４８－１,0287-43-5600,www.kmc.med-apple.co.jp,有,"平日9:00-12:00、15:00-18:00
土9:00-12:00、15:00-17:00",有,栃木県,矢板市,09211,36.798363,139.93367
藤田産婦人科医院,３２５－００５５,栃木県那須塩原市宮町５－１９,0287-62-0115,,有,"月火水金9:00-12:30、14:30-18:00
木土9:00-12:30 日祭日は休診",有,栃木県,那須塩原市,09213,36.974506,140.059174
