施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
横田マタニティーホスピタル,371-0031,群馬県前橋市下小出町１－５－２２,027-219-4103,https://www.yokotamaternity.com/,有,月・火・木・金：9:00-16:30、水・土：9:00-11:30,有,群馬県,前橋市,10201,36.407722,139.067459
横田レディースクリニック,371-0031,群馬県前橋市下小出町1-16-5,027-289-6116,https://www.yokota-clinic.or.jp/,有,"月・火・木9:00-13:00,14:00-18:00、土9:00-13:00",有,群馬県,前橋市,10201,36.408722,139.067001
群馬中央病院,371-0025,群馬県前橋市紅雲町１－７－１３,027-221-8165,https://gunma.jcho.go.jp/,有,原則平日8:00-11:00（24時間対応可能）,無（処方箋発行）,群馬県,前橋市,10201,36.386566,139.062073
中野産婦人科医院,371-0033,群馬県前橋市国領町２－２－１２,027-233-5588,-,有,平日：9:00-18:00、土：9:00-12:30,有,群馬県,前橋市,10201,36.40295,139.068634
山王医院,379-2123,群馬県前橋市山王町２－２０－１６,027-266-5410,-,有,月・金：9:00-12:30,有,群馬県,前橋市,10201,36.350426,139.127274
さくらクリニック,371-0816,群馬県前橋市上佐鳥町1203-2,027-212-2434,-,有,"火･水･木：9:00-11:00,15:00-17:00、土・日：9:00-13:00",有,群馬県,前橋市,10201,36.35099,139.080902
神岡産婦人科医院,371-0841,群馬県前橋市石倉町５－２２－１,027-253-4152,http://www.kamioka.or.jp/,有,"月･火･水･金：9:00-12:30,15:00-18:00、木・土：9:00-12:30",有,群馬県,前橋市,10201,36.391529,139.05188
前橋協立病院,371-0811,群馬県前橋市朝倉町８２８－１,027-265-3511,https://www.kyouritsu.or.jp/,有,外来診療時間,有,群馬県,前橋市,10201,36.369335,139.086441
いとうレディースクリニック,371-0811,群馬県前橋市朝倉町８６７－３,027-290-3531,http://www.ito-ladies.com,有,"平日9:00-13:30,15:00-18:00、土9:00-12:00,14:00-16:00",有,群馬県,前橋市,10201,36.370106,139.088318
医療法人晴方会いまいウイメンズクリニック,371-0012,群馬県前橋市東片貝町８７５,027-221-1000,http://imai-womens.com/,有,"月・火・水・金：9:00-12:30,15:00-17:30、木・土：9:00-12:30",有,群馬県,前橋市,10201,36.382763,139.102737
ベルフィーユ今井レディースクリニック,371-0805,群馬県前橋市南町四丁目52-13,027-223-3114,http://www.belle-fille.jp/,有,"平日：9:00-12:30,14:30-17:30、土：9:00-12:30",有,群馬県,前橋市,10201,36.376244,139.068741
さとうレディースクリニック,371-0024,群馬県前橋市表町２－２０－１７,027-224-7606,-,有,"月･火・水･金：10:00-13:30,15:30-19:00、土：10:00-13:30,15:30-17:30",有,群馬県,前橋市,10201,36.385609,139.070816
道下産婦人科医院,371-0027,群馬県前橋市平和町１－７－３,027-231-7821,-,有,"平日：9:00-12:30,14:30-18:00、土：9:00-13:00",有,群馬県,前橋市,10201,36.397614,139.064819
クリニックオガワ,377-0007,群馬県渋川市石原１１３,0279-22-1377,http://www.ogawa.or.jp/,有,"月・水・金：9:00-12:00、火・木：9:00-12:00,15:00-18:00、土：9:00-12:00,14:00-17:00",有,群馬県,渋川市,10208,36.48885,139.001938
渋川中央病院,377-0007,群馬県渋川市石原５０８－１,0279-25-1711,http://shibutyu.com/,有,"月・火・水・金：9:00-12:00,15:00-17:30、木・土：9:00-12:00",有,群馬県,渋川市,10208,36.486515,139.00679
まつい女性クリニック,370-3602,群馬県北群馬郡吉岡町大久保751-4,0279-30-6510,http://www.myclinic.ne.jp/matsui_lady/pc/,有,"月・火・水・金：9:00-12:30,15:00-18:30、土：9:00-12:30",有,群馬県,北群馬郡吉岡町,10345,36.43425,139.020493
医療法人福井会フクイ産婦人科クリニック,372-0024,群馬県伊勢崎市下植木町５５３－３,0270-24-7211,http://www.fukuikai.jp/,有,24時間対応,有,群馬県,伊勢崎市,10204,36.31852,139.213181
医療法人 纉喜会朋友産婦人科クリニック,372-0012,群馬県伊勢崎市豊城町２３６０－２,0270-21-5080,-,有,"月・火・水・金・土：9:00-12:30,14:30-18:00",有,群馬県,伊勢崎市,10204,36.333256,139.222931
医療法人一灯会新生産婦人科医院,372-0034,群馬県伊勢崎市茂呂２－２８７８ー１,0270-23-1333,https://isesakisawa.gunma.med.or.jp/map/individual/shinsei_san.h,tm 有,随時受付,有,群馬県,伊勢崎市,10204,36.306274,139.199356
あかつきウィメンズクリニック,372-0817,群馬県伊勢崎市連取本町２０－９,0270-21-7000,https://akatsukiwomens.com/,有,月・火・木・金：9:00-18:00、土・日：9:00-12:00,有,群馬県,伊勢崎市,10204,36.320293,139.177429
宇津木医院,370-1101,群馬県佐波郡玉村町藤川１９８－２,0270-64-7878,https://isesakisawa.gunma.med.or.jp/map/individual/utsugi.htm,有,"月-土：9:00-12:00,15:00-18:00",有,群馬県,佐波郡玉村町,10464,36.329208,139.129135
医療法人あいおい会こすもレディースクリニック,370-0052,群馬県高崎市旭町113-7 ﾊｰﾄｽｸｴｱ長建1F,027-330-2215,https://www.cosmo-ladies.com/,有,"平日：9:30-13:00,15:00-20:00、水：15:00-20:00、土：9:30-13:00",有,群馬県,高崎市,10202,36.325901,139.011627
岸産婦人科医院,370-0086,群馬県高崎市沖町５６７,027-343-6412,-,有,"月・水：9:00-12:00,14:00-17:30（※水は9:40-）、火・金：9:00-12:00、土：9:00-12:00,14:00-
17:00",有,群馬県,高崎市,10202,36.358807,138.957138
斎川産婦人科医院,370-0044,群馬県高崎市岩押町３１－１０,027-327-0462,-,有,"月-土：9:00-12:30,14:00-18:00",有,群馬県,高崎市,10202,36.324699,139.020279
医療法人矢崎会矢崎医院,370-0883,群馬県高崎市剣崎町１０４９－２,027-344-3511,-,有,月･火・水･金・土：9:00-17:30,有,群馬県,高崎市,10202,36.34679,138.963181
産科婦人科舘出張佐藤病院,370-0836,群馬県高崎市若松町９６,027-322-2243,https://www.sato-hospital.gr.jp/,有,月・火・木・金・土：8:00-17:00、水：8:00-12:00,有,群馬県,高崎市,10202,36.320026,139.005646
