施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
田口産婦人科内科,331-0812,埼玉県さいたま市北区宮原町３－５２９－２,048-661-7474,,有,"月火金9:00～13:00 15:00～18:00
水土9:00～13:00",有,埼玉県,さいたま市北区,35.940208,139.608231
塚原産婦人科医院,330-0843,埼玉県さいたま市大宮区吉敷町３－１５６,048-641-0253,,有,月火水金9:00～12:00 14:00～16:00,有,埼玉県,さいたま市大宮区,35.900364,139.635376
道クリニック,330-0802,"埼玉県さいたま市大宮区宮町１－１５
大宮松屋ビル２F",048-646-4307,www.michi-clinic.com/,有,"月火水金9:00～12:00 14:00～18:00
木土9:00～12:00",有,埼玉県,さいたま市大宮区,35.908455,139.624481
大原医院,330-0854,埼玉県さいたま市大宮区桜木町２－３－６９,048-641-0470,www.ohara-omiya.com,有,"月～金9:00～11:45 15:00～17:45
第2,4,5土9:00～11:45 14:30～15:45",有,埼玉県,さいたま市大宮区,35.90699,139.621796
医療法人大宮林医院,330-0852,埼玉県さいたま市大宮区大成町１－３３５－１,048-663-0062,http://www.omiyahayashi.com,有,"月火木金9:00～12:00 15:00～17:30
土9:00～11:30",有,埼玉県,さいたま市大宮区,35.908474,139.614243
秋山レディースクリニック,330-0852,埼玉県さいたま市大宮区大成町３－５４２,048-663-0005,http://www.akiyamac.com/,有,水曜を除く平日8:30～18:00 土8:30～13:00,有,埼玉県,さいたま市大宮区,35.919094,139.612671
"医療法人社団新宿レディースクリニック会 さい
たまレディースクリニック",330-0845,"埼玉県さいたま市大宮区仲町１－５４－３
ビジョナリーⅢ６階",048-644-1971,https://www.saitama-ladies.jp/,有,9:30～19:00（ビル休館日年末年始以外）,有,埼玉県,さいたま市大宮区,35.905388,139.626755
穂坂医院,330-0834,埼玉県さいたま市大宮区天沼町１－６３,048-641-2595,,有,"月15:00～18:00 水金9:00～12:00 15:00～
18:00 土9:00～12:00",有,埼玉県,さいたま市大宮区,35.908249,139.639008
おおの産婦人科・内科,330-0841,埼玉県さいたま市大宮区東町２－５２,048-641-3797,http://www009.upp.so-net.ne.jp/h-ohnomom,o/ 有,"平日9:00～13:00 15:00～18:00
土9:00～13:00",有,埼玉県,さいたま市大宮区,35.908447,139.633408
"医療法人社団愛正会
宇井レディスクリニック",337-0033,埼玉県さいたま市見沼区御蔵７８９－１,048-688-4622,http://www.ui-lc.gr.jp,有,"平日9:30～17:30（水曜は除く）
土9:30～11:30",有,埼玉県,さいたま市見沼区,35.906284,139.668762
