施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
成田赤十字病院,286-8523,千葉県成田市飯田町９０番地１,0476-22-2311,http://www.narita.jrc.or.jp,有,平日9:00-17:00 土日9:00-17:00,無,千葉県,成田市,35.765102,140.303391
社会医療法人社団木下会 千葉西総合病院,270-2251,千葉県松戸市金ヶ作１０７－１,047-384-8111,www.chibanishi-hp.or.jp,有,月～木8:00-10:30 金8:00-10:00,有,千葉県,松戸市,35.804928,139.944901
医療法人SHIODA 塩田記念病院,297-0203,千葉県長生郡長柄町国府里５５０－１,0475-35-0099,http://www.s-fmc.jp,有,"月9:00-11:30 14:00-16:30 火9:00-11:30 水14:30-16:30 木
9:00-11:30 14:00-16:30(第3・5休診) 金 休診 土9:00-11:30",有,千葉県,長生郡長柄町,35.455055,140.244888
千葉県済生会習志野病院,275-8585,千葉県習志野市泉町１－１－１,047-473-1281,http://www.chiba-saiseikai.com,有,平日9:00-17:00,有,千葉県,習志野市,35.692158,140.046051
独立行政法人地域医療機能推進機構 船橋中央病院,273-8556,千葉県船橋市海神６丁目１３番１０号,047-433-2111,https://funabashi.jcho.go.jp/,有,平日8:00-11:00(受付時間),無,千葉県,船橋市,35.705269,139.969284
医療法人財団明理会 行徳総合病院,272-0103,千葉県市川市本行徳５５２５番地２,047-395-1151,https://gyo-toku.jp/,有,平日8:30-16:30 金曜のみ16:30-翌8:30 土8:30-12:00,有,千葉県,市川市,35.694016,139.918213
キッコーマン総合病院,278-0005,千葉県野田市宮崎１００,04-7123-5911,http://hospital.kikkoman.co.jp/,有,平日8:00-15:00 土8:00-11:00,有,千葉県,野田市,35.953083,139.870926
地方独立行政法人 さんむ医療センター,289-1326,千葉県山武市成東１６７,0475-82-2521,http://www.sanmu-mc.jp/,有,受付 平日8:30-11:30,有,千葉県,山武市,35.601017,140.410736
千葉市立海浜病院,261-0012,千葉県千葉市美浜区磯辺３－３１－１,043-277-7711,,有,平日8:30-11:30,有,千葉県,千葉市美浜区,35.627953,140.051239
医療法人社団保健会 谷津保健病院,275-0026,千葉県習志野市谷津４－６－１６,047-451-0026,http://www.yatsu.or.jp/,有,平日8:00-17:00 土8:00-12:00,無,千葉県,習志野市,35.684921,140.00679
医療法人社団吉祥会 加藤病院,292-0014,千葉県木更津市高柳２－１２－３１,0438-41-2276,http://kato-hosp.jp/,有,"月・水9:00-12:00 14:30-18:00 木・金・土9:00-12:00
14:30-17:30 日9:00-11:30",有,千葉県,木更津市,35.40802,139.943405
東京女子医科大学附属八千代医療センター,276-8524,千葉県八千代市大和田新田４７７－９６,047-450-6000,http://www.twmu.ac.jp/TYMC/index.html,有,救急診療に準ずる,無,千葉県,八千代市,35.727715,140.095078
医療法人 巻石堂病院,277-0005,千葉県柏市柏３丁目１０番２８号,04-7166-1131,http://www.hospital.jp/kensekido/access.html,有,平日9:00-15:30 土9:00-15:30,有,千葉県,柏市,35.861904,139.975479
東京ベイ・浦安市川医療センター,279-0001,千葉県浦安市当代島３－４－３２,047-351-3101,https://tokyobay-mc.jp,有,常時,有,千葉県,浦安市,35.671627,139.893219
医療法人社団志仁会 薬丸病院,292-0831,千葉県木更津市富士見２－７－１,0438-25-0381,http://www.yakumaru.jp,有,３６５日２４時間,有,千葉県,木更津市,35.380783,139.921555
医療法人鉄蕉会 亀田総合病院,296-8602,千葉県鴨川市東町９２９,04-7092-2211,www.kameda.com,有,２４時間,有,千葉県,鴨川市,35.120132,140.125504
