施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
村上総合病院,958-8533,新潟県村上市田端町2番17号,0254-53-2141,http://www.mgh.jp/,有,0:00～24:00,有,新潟県,村上市,15212,38.220688,139.465637
"医療法人恒仁会 新潟南
病院",950-8601,新潟県新潟市中央区鳥屋野2007-6,025-284-2511,"https://www.niigataminami-
hp.com/",有,"平日 9:00～17:00
土曜 9:00～12:00",有,新潟県,新潟市,,37.889229,139.022903
竹山病院,951-8068,新潟県新潟市中央区上大川前通六番町1183,025-228-7171,http://www.takeyama-hsp.com/,有,24時間365日,有,新潟県,新潟市中央区,15103,37.92104,139.047516
"新潟県厚生農業協同協同
組合連合会 新潟医療セ
ンター",950-2022,新潟県新潟市西区小針3-27-11,025-232-0111,http://www.niigata-medical.jp/,有,受付時間 平日8:00～11:00,有,新潟県,新潟市西区,15107,37.887978,138.998703
"医療法人 愛仁会 亀田
第一病院",950-0165,新潟県新潟市江南区西町2丁目5番22号,025-382-3111,http://ijn.or.jp/,有,平日 8:30～17:30,有,新潟県,新潟市江南区,15104,37.875336,139.103775
"新潟県厚生農業協同組合
連合会 三条総合病院",949-0055,新潟県三条市塚野目５丁目１番６２号,0256-32-1131,soum.san@iris.ocn.ne.jp,有,平日8:30～11:30,有,新潟県,三条市,15204,37.641972,138.972794
長岡西病院,940-2081,新潟県長岡市三ツ郷屋町371-1,0258-27-8500,"www.sutokukai.or.jp/nagaokanis
hi-hp/",有,平日9:00～12:00,有,新潟県,長岡市,15202,37.450184,138.815948
"新潟県厚生農業協同組合
連合会 小千谷総合病院",949-8701,新潟県小千谷市大字平沢新田111番地,0258-81-1600,https://www.ojiya-ghp.jp/,有,平日8:30-17:00,有,新潟県,小千谷市,15208,37.319954,138.795471
"新潟県地域医療推進機構
魚沼基幹病院",949-7302,新潟県南魚沼市浦佐4132,025-777-3200,"https://www.uonuma-kikan-
hospital.jp/",有,"対応可能時間：全日9：00-17：30
外来受付時間：平日8：30-11：30
外来受付時間以外は電話にてお問
い合わせください。",有,新潟県,南魚沼市,15226,37.167477,138.922089
新潟県立十日町病院,948-0065,新潟県十日町市高田町三丁目南32-9,025-757-5566,"http://www.tokamachi-hosp-
niigata.jp/",有,"平日8:00-17:00
（有効時間が迫っている等の緊急
時は24時間対応可能）",有,新潟県,十日町市,15210,37.131046,138.752121
