施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"独立行政法人労働者健康
安全機構富山労災病院",937-0042,富山県魚津市六郎丸992,0765-22-1280,http://www.toyamah.johas.go.jp/,有,平日8：30-17：00,有,富山県,魚津市,16204,36.821407,137.425003
富山県立中央病院,930-8550,富山県富山市西長江2-2-78,076-424-1531,https://www.tch.pref.toyama.jp/,有,平日8:30～17:00,有,富山県,富山市,16201,36.692074,137.236526
富山赤十字病院,930-0859,富山県富山市牛島本町二丁目1-58,076-433-2222,http://www.toyama-med.jrc.or.jp/,有,"平日： 午前 8：40～12：00
午後 1：00～ 4：30
夜間休日 : 二次救急輪番日",有,富山県,富山市,16201,36.707863,137.209213
富山県済生会富山病院,931-8442,富山県富山市楠木33-1,0764-37-1111,http://www.saiseikai-toyama.jp/,有,平日 8:30-17:00,有,富山県,富山市,16201,36.737865,137.255035
富山西総合病院,939-2716,富山県富山市婦中町下轡田1019,076-461-7700,http://toyama-nishi.jp,有,"平日(月･火･木･金) 8:30～17：00
水曜 8:30～19：30",有,富山県,富山市,16201,36.662491,137.174973
かみいち総合病院,930-0391,富山県中新川郡上市町法音寺51,076-472-1212,https://www.kamiichi-hosp.jp/,有,"平日8:45～12:00
夜間はオンコールで対応可能",有,富山県,中新川郡上市,,36.703178,137.360657
富山県済生会高岡病院,933-8525,富山県高岡市二塚３８７－１,0766-21-0570,http://www.takaoka-saiseikai.jp/,有,"平日 8：15-11：00
14：30-16：00
夜間休日 二次救急輪番日",有,富山県,高岡市,16202,36.721581,137.015549
厚生連高岡病院,933-8555,富山県県高岡市永楽町5-10,0766-21-3930,http://www.kouseiren-ta.or.jp/,有,365日 24時間,有,富山県,県高岡市,,36.695984,137.213455
"独立行政法人地域医療機
能推進機構高岡ふしき病
院",933-0115,富山県高岡市伏木古府元町8-5,0766-44-1181,https://takaoka.jcho.go.jp/,有,"平日9：00-12：00
（11：30まで受付）",有,富山県,高岡市,16202,36.791489,137.043518
射水市民病院,934-0053,富山県射水市朴木20番地,0766-82-8100,https://hosp.city.imizu.toyama.jp/,有,"月、火、木、金 8:15-11:00
水 8:15-10:30
上記時間に受付可能な場合",有,富山県,射水市,16211,36.759602,137.081635
"公立学校共済組合北陸中
央病院",932-8503,富山県小矢部市野寺１２３,0766-67-1150,http://hokuriku-ctr-hsp.jp/,有,平日8:30～17:15,有,富山県,小矢部市,16209,36.665199,136.890244
南砺市民病院,932-0211,富山県南砺市井波９３８番地,0763-82-1475,http://shiminhp.city.nanto.toyama.jp,有,"平日の月・水・金曜日の9：00～
11：00
（婦人科外来診療時間帯に限る。
休診等詳細は病院ホームページを
参照してください。）",有,富山県,南砺市,16210,36.569839,136.973663
"佐伯レディースクリニッ
ク",935-0024,富山県氷見市窪６６０,0766-91-8855,http://saeki-lc.jp/,有,7:00-19:00,有,富山県,氷見市,16205,36.840313,136.992065
津田産婦人科医院,939-1355,富山県砺波市杉木4-69,0763-33-3035,http://www1.tst.ne.jp/tsudasan/,有,"平日 9:00-12:00 14:00-18:00
土曜 9:00-12:00",有,富山県,砺波市,16208,36.644695,136.956207
"おとぎの森レディースク
リニック",933-0826,富山県高岡市佐野1316-1,0766-20-7711,http://www.otoginomori.jp/,有,"平日9:00-12:30 15:00-18:00 土
曜9：00-12：30 15：00～17：00
木・日祝日休診",有,富山県,高岡市,16202,36.725658,137.001663
井本産婦人科医院,930-0096,富山県富山市舟橋北町6-15,076-433-3517,http://www.imotoclinic.jp/,有,"平日 9:00-18:00
土曜 9:00-13:00
木曜日・日曜・祝日 休診",有,富山県,富山市,16201,36.69582,137.207886
"医療法人社団藤聖会 女
性クリニックＷｅ富山",939-8204,富山県富山市根塚町1-5-1,076-493-5580,http://www.we-toyama.jp,有,"月・水8：30～17：00 火・金8：
30～19：00 木8：30～12：30
土8：30～13：30 休診日：木土
曜午後・日曜・祝日・第4土曜日
完全予約制につき事前に電話予約
必要",有,富山県,富山市,16201,36.67445,137.204987
"こうちウィメンズクリ
ニック",937-0041,富山県魚津市吉島1-8-10,076-433-3517,https://www.kochi-clinic.com/,有,"平日 9:00-12:30 15:00-19:00
木曜・土曜 9:00-13:00
日曜・祝日 休診",有,富山県,魚津市,16204,36.827579,137.412048
