施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
"国民健康保険小松市民病
院",923-8560,石川県小松市向本折町ホ60番地,0761-22-7111,"https://hosp.komatsu.ishikawa.
jp",有,平日 8:30～11:00,有,石川県,小松市,36.398777,136.43956
医療法人社団 荒木病院,923-0832,石川県小松市若杉町95番地,0761-22-0301,http://www.arakihospital.com,有,特に決めていない,有,石川県,小松市,36.394424,136.484024
恵愛みらいクリニック,923-0804,石川県小松市光町1-1,0761-24-6111,https://keiai-kmt.or.jp/,有,終日可能,有,石川県,小松市,36.404163,136.459473
"川北レイクサイドクリ
ニック",923-0964,石川県小松市今江町に41番地,0761-22-0232,www.kawakita-lakeside.com,有,"24時間（診療時間外は電話をかけ
てから来院ください）
【診療時間】
（月・火・金・土曜日）9:00～
18：00
（水曜日）9:00～12:00
（木曜日）15:00～18:00",有,石川県,小松市,36.377983,136.450226
瀬川クリニック,923-0302,石川県小松市符津町ウ８３,0761-44-5135,"http://www8.ocn.ne.jp/-segawao
g",有,"月・火・金 9:00～12:00／14:00
～17:30
水・土 9:00～12:00
木・日・祭 休診",有,石川県,小松市,36.355846,136.425659
正木レディスクリニック,923-0921,石川県小松市土居原町496番4,0761-21-8500,,有,"平日（月・火・木・金） 9:00～
18:00
土曜 9:00～12:30
水曜、日祭日 休診",有,石川県,小松市,36.398312,136.451523
"産婦人科 麻酔科 手取
川クリニック",923-1267,石川県能美郡川北町字壱ツ屋１９９,076-277-0100,"http://www.tedorigawa-
clinic.com",有,"平日9:00～12:00／15:00～18:00
土曜9:00～12:00",有,石川県,能美郡川北町,36.468712,136.5457
"白山石川医療企業団 公立
松任石川中央病院",924-8588,石川県白山市倉光三丁目８番地,076-275-2222,http://www.mattohp.jp/,有,"水曜日 8:00～11:30／13:00～
14:30
木曜日 8:00～11:30",有,石川県,白山市,36.510921,136.566132
恵愛会松南病院,924-0805,石川県白山市若宮３－６３,076-275-7611,http://www.keiai-shonan.jp/,有,24時間対応可能,有,石川県,白山市,36.518856,136.573807
上島クリニック,929-0326,石川県津幡町清水,076-289-2233,,有,"平日 9:00～18:00
土曜 9:00～13:00",有,石川県,河北郡津幡町,36.675827,136.735886
