施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
福井総合病院,910-8561,福井県福井市江上町第58号16番地１,0776-59-1300,http://www.f-gh.jp/,有,"平日 ８：３０～１７：００
土曜 ８：３０～１２：３０",有,福井県,福井市,18201,36.133423,136.173996
福井県済生会病院,918-8503,福井県福井市和田中町舟橋７番地１,0776-23-1111,https://www.fukui-saiseikai.com/,有,24時間対応可能,有,福井県,福井市,18201,36.047741,136.25264
医療法人 福井愛育病院,910-0833,福井県福井市新保２丁目３０１番地,0776-54-5757,https://www.fab.or.jp/,有,365日 24時間,有,福井県,福井市,18201,36.078224,136.249939
坂井市立三国病院,913-0042,福井県坂井市三国町中央一丁目２番３４号,0776-82-0480,"https://www.city.fukui-
sakai.lg.jp/index.html",有,"平日 8：30～15：30
土曜 8：30～11：30
休日・時間外の場合はお問い合わせください。",有,福井県,坂井市,18210,36.216045,136.157806
福井勝山総合病院,911-8558,福井県勝山市長山町２－６－２１,0779-88-0350,http://fukui.jcho.go.jp/,有,平日 09:00 ～ 15:00,有,福井県,勝山市,18206,36.069752,136.506653
公立丹南病院,916-0021,福井県鯖江市三六町１丁目２番３１号,0778-51-2260,"https://www.jadecom.or.jp/jadecomh
p/tannan/html",有,"平日 8：30～17：
土曜 8：30～12：30",有,福井県,鯖江市,18207,35.970375,136.178207
財団法人 今立中央病院,915-0242,福井県越前市粟田部町３３－１,0778-42-1800,www.myclinic.ne.jp/imachu/pc/,有,,無,福井県,越前市,18209,35.917221,136.242172
市立敦賀病院,914-0058,福井県敦賀市三島町1丁目6-60,0770-22-3611,http://tsuruga-hp.jp/,有,24時間対応,有,福井県,敦賀市,18202,35.653206,136.065079
杉田玄白記念公立小浜病院,917-0078,福井県小浜市大手町２－２,0770-52-0990,http://www.obamahp-wakasa.jp,有,"月～金 ８：３０～１７：１５
（土・日・祝祭日及び上記の時間以外は救急対応）",有,福井県,小浜市,18204,35.494034,135.745667
若狭高浜病院,919-2225,福井県大飯郡高浜町宮崎８７－１４－２,0770-72-0880,https://takahama.jcho.go.jp/,有,"火曜 9：00～11：30
第2・4金曜 9：00～11：30",無,福井県,大飯郡高浜町,18481,35.48893,135.544479
福井総合クリニック,910-0067,福井県福井市新田塚１丁目４２－１,0776-21-1300,http://www.f-gh.jp/,有,"平日 ８：３０～１７：００
土曜 ８：３０～１２：３０",有,福井県,福井市,18201,36.091953,136.206375
ホーカベレディースクリニック,918-8002,福井県福井市左内町１０号１１番地,0776-36-0665,https://www.hookabe.com/,有,"平日 ９：００～１８：３０（水曜は休診）
土曜 ９：００～１４：００",有,福井県,福井市,18201,36.059254,136.212112
加藤内科・婦人科クリニック,910-0845,福井県福井市志比口１丁目１０－２８,0776-53-0053,http://www.katouhomecare.ecnet.jp/,有,"平日 ８：００～１８：００（木曜は１２：００まで）
土曜 ８：００～１８：００
時間外 電話で対応可",有,福井県,福井市,18201,36.067764,136.233704
レディースクリニックつねざわ,910-0858,福井県福井市手寄１丁目７－２３ 駅東さくらビル４階,0776-30-5233,https://lc-tsunezawa.jp/,有,"月・火・木・金曜 ９：００～１２：３０ １４：３０～１８：３０
水・土曜 ９：００～１２：３０",有,福井県,福井市,18201,36.059868,136.222427
平井医院,910-0019,福井県福井市春山２丁目２４－９,0776-22-6733,,有,"平日・土曜 ９：００～１８：００
木曜日 ９：００～１３：００",有,福井県,福井市,18201,36.070583,136.214935
まきレディースクリニック,910-0064,福井県福井市新田塚町１０１,0776-22-8989,http://makilc.web.fc2.com/,有,"月・火・水・金曜 ８：３０～１８：００
土曜 ８：３０～１２：３０",有,福井県,福井市,18201,36.088379,136.212128
打波外科胃腸科・婦人科,910-0017,福井県福井市文京７丁目１０－２,0776-26-7171,www.uchinami.clinic-hp.com,有,"平日 ９：００～１８：００（火・木は１７：００まで）要予約
水曜 ９：００～１３：００
土 ９：００～１７：００ 要予約",有,福井県,福井市,18201,36.07592,136.194916
本多レディースクリニック,910-0004,福井県福井市宝永４丁目２番１８号,0776-24-6800,www.honda-lc.or.jp,有,"月・火・木・金曜 ９：００～１８：２０
土曜 ９：００～１２：５０",有,福井県,福井市,18201,36.06736,136.219666
ふくのレディースクリニック,910-0842,福井県福井市開発5丁目606番地,0776-52-3600,ｈｔｔｐｓ://www.fukuno_clinic.com,有,"月・火・木・金曜 ９：００～１８：００
土曜 ９：００～１２：００",有,福井県,福井市,18201,36.086617,136.239212
金津産婦人科クリニック,919-0621,福井県あわら市市姫1-8-5,0776-73-3800,http://www3.ocn.ne.jp/-doniwa/,有,"平日 ８：３０～１８：００（水曜のみ８：３０～１２：００まで）
土曜 ８：３０～１７：００",有,福井県,あわら市,18208,36.211857,136.230881
春日レディスクリニック,919-0465,福井県坂井市春江町江留上新町8番地,0776-51-6080,http://www.kasuga-lc.com/,有,平日、土曜、日曜対応可,有,福井県,坂井市,18210,36.125458,136.219086
栃木産婦人科医院,912-0053,福井県大野市春日９２－６,0779-66-2502,,有,"平日 ９：００～１２：００ １５：００～１８：００
土曜 ９：００～１２：００ １５：００～１８：００",有,福井県,大野市,18205,35.97086,136.499008
藤井医院,915-0841,福井県越前市文京１丁目６－２８,0778-23-3211,,有,"平日、土曜 ９：００～１８：３０
水曜 ９：００～１２：００",有,福井県,越前市,18209,35.891026,136.160233
医療法人 文生会 井元産婦人科医院,915-0061,福井県越前市堀川町6-25,0778-23-3541,www.imoto-sanfujinka.com,有,"月・火・木・金曜 ９：００～１２：００ １５：００～１８：００
水・土曜 ９：００～１２：００",有,福井県,越前市,18209,35.89827,136.172546
加藤産婦人科,916-0022,福井県鯖江市水落町1-4-21,0778-51-1285,,有,"平日 ９：００～１２：００ １４：３０～１９：００
土曜 ９：００～１２：００ １４：００～１６：００",有,福井県,鯖江市,18207,35.962086,136.181992
産婦人科 鈴木クリニック,916-0041,福井県鯖江市東鯖江町4丁目2-23,0778-52-6000,https://suzuki-clinic-sanfujinka.com,有,平日 土曜 日曜 ７：００～２４：００,有,福井県,鯖江市,18207,35.944813,136.195404
医療法人 松田ﾏﾀﾆﾃｨｸﾘﾆｯｸ,914-0815,福井県敦賀市平和町7-3,0770-24-1131,,有,"月・火・木・金曜 ９：００～１２：３０ １５：００～１７：３０
水・土曜 ９：００～１２：３０",有,福井県,敦賀市,18202,35.6464,136.051422
産科・婦人科 井上クリニック,914-0814,福井県敦賀市木崎49-24-1,0770-21-4103,ｈｔｔｐｓ://www.siclinic.jp/,有,"月・火・木・金曜 ９：００～１８：００
水・土曜 ９：００～１２：００",有,福井県,敦賀市,18202,35.641552,136.043198
中山クリニック,917-0026,福井県小浜市多田2-2-1,0770-56-5588,http://www.nakayamaclinic.jp/,有,"平日 ９：００～１８：００
水曜、土曜 ９：００～１２：００",有,福井県,小浜市,18204,35.485584,135.770615
