施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
山梨大学医学部附属病院,409-3898,山梨県中央市下河東1110,055-273-1111,,有,平日 9:00～14:00,有,山梨県,中央市,19214,35.6092,138.538177
甲府共立病院,400-0034,山梨県甲府市宝1-9-1,055-226-3131,http://www.yamanashi-min.jp/sanfujinka/,有,"24時間365日
時間帯によって費用が異なります",有,山梨県,甲府市,19201,35.667183,138.564682
北杜市立甲陽病院,408-0034,山梨県北杜市長坂町大八田3954,0551-32-3221,,有,"月曜 8:30～11:30
金曜 8:30～11:30",有,山梨県,北杜市,19209,35.836624,138.38266
国民健康保険富士吉田市立病院,403-0005,山梨県富士吉田市上吉田6530,0555-22-4111,,有,9:00～12:00,"有
プラノバールあり",山梨県,富士吉田市,19202,35.426395,138.753159
都留市立病院,402-0056,山梨県都留市つる5-1-55,0554-45-1811,https://www.city.tsuru.yamanashi.jp/byoin/,有,"平日 8:30～17:15
土曜 8:30～12:30",有,山梨県,都留市,19204,35.562576,138.903732
（医）あとべ会 産婦人科跡部医院,400-0856,山梨県甲府市伊勢2-15-6,055-233-5456,,有,"平日 9:00～18:00（木曜休診）
第1/3/5土曜日 9:00～12:00
第2/4土曜日 9:00～15:00",有,山梨県,甲府市,19201,35.645031,138.569733
依田産科婦人科クリニック,400-0861,山梨県甲府市城東2-16-6,055-220-7511,,有,"月・火・木・金 9:00～13:00、
15:00～18:00
水・土 9:00～13:00",有,山梨県,甲府市,19201,35.657574,138.580353
医療法人社団浩明会 梶山クリニック,400-0047,山梨県甲府市徳行1-3-20,055-222-9200,,有,"平日 9:00～17:00
木・土 9:00～12:00
時間外でも、まず電話をかけてく
ださい",有,山梨県,甲府市,19201,35.655182,138.546127
産科婦人科清水クリニック,400-0813,山梨県甲府市向町450-5,055-221-0341,,有,"月・火・木・金 9:00～16:30
土 9:00～12:00",有,山梨県,甲府市,19201,35.647442,138.614304
羽田レディースクリニック,403-0005,山梨県富士吉田市上吉田6-10-14,0555-30-0311,,有,"月・火・水・金 8:30～12:30、
14:30～18:30
木・土 8:30～12:30
日・祝 休診",有,山梨県,富士吉田市,19202,35.476006,138.791107
加賀谷医院,403-0032,山梨県富士吉田市上吉田3032-1,0555-23-2450,,有,"平日 8:00～18:00
土曜木曜 8:00～12:00",有,山梨県,富士吉田市,19202,35.426395,138.753159
堀内産婦人科医院,403-0004,山梨県富士吉田市下吉田7-3-14,0555-22-1151,,有,"月・火・水・金 9:00～12:00、
16:00～17:30
木 9:00～12:00
土・日 9:00～12:00（要確認）",有,山梨県,富士吉田市,19202,35.490414,138.809921
山梨市立産婦人科医院,405-0018,山梨県山梨市上神内川172,0553-20-1230,,有,"平日 9:00～11:30、15:00～
17:30
（水・土は午前のみ）
祝祭日・日曜日は要相談",有,山梨県,山梨市,19205,35.68689,138.687683
稚枝子おおつきクリニック,401-0013,山梨県大月市大月1-8-5,0554-56-7766,http://www.chieko-clinic.com/,有,"平日 9:15～18:00
土曜 8:15～13:00",有,山梨県,大月市,19206,35.61237,138.943161
武者医院,401-0013,山梨県大月市大月1-15-18,0554-23-1166,,有,平日 9:00～18:00,有,山梨県,大月市,19206,35.610485,138.941086
韮崎おはな産婦人科,407-0014,山梨県韮崎市富士見1-3-9,0551-22-1070,https://nirasakiohana.com/,有,"月・火・木・金 9:00～17:00
水・土 9:00～12:00",有,山梨県,韮崎市,19207,35.711136,138.452728
女性クリニック秋山医院,400-0221,山梨県南アルプス市在家塚155,055-282-2017,http://akiyama.byoinnavi.jp/pc/,有,"月・火・木・金 8:30～18:00
土 8:30～12:30",有,山梨県,南アルプス市,19208,35.633324,138.466583
竜王レディースクリニック,400-0115,山梨県甲斐市篠原2199,055-279-4132,https://ryuo-ladies.jp,有,"平日 8:00～20:00
休日 8:00～13:00
（土） 8:00～15:00
他の時間帯も可能な限り適宜対応
します。
対応時間により料金が異なります",有,山梨県,甲斐市,19210,35.654179,138.516571
長坂クリニック,406-0033,山梨県笛吹市石和町小石和2645,055-262-1103,https://naga9.jp,有,平・土・日 9:00～17:00,有,山梨県,笛吹市,19211,35.623287,138.618896
医療法人田辺産婦人科,409-3866,山梨県中巨摩郡昭和町西条640,055-275-3577,http://www.tanabe-clinic.net,有,年間365日24時間対応,有,山梨県,中巨摩郡昭和町,19384,35.630337,138.546387
渡辺医院,401-0301,山梨県南都留郡富士河口湖町船津1496,0555-72-2835,https://www.fujisanwatanabe-lc.com,有,"平日・土曜日 9:00～12:00、
15:00～18:00",有,山梨県,南都留郡富士河口湖町,19430,35.498829,138.761536
