施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"長野県厚生農業協同組合連合会
佐久総合病院 佐久医療センター",385-0051,長野県佐久市中込３４００－２８,0267-62-8181,http://www.sakuhp.or.jp/,有,"24時間対応可能ですが、電話相談をあらかじめお願
いします。",有,長野県,佐久市,20217,36.252174,138.472397
"長野県厚生農業協同組合連合会
浅間南麓こもろ医療センター",384-8588,長野県小諸市相生町三丁目３番２１号,0267-22-1070,http://komoro-mc.com/,有,24時間対応可,有,長野県,小諸市,20208,36.327145,138.4254
軽井沢西部総合病院,389-0206,長野県北佐久郡御代田町御代田４１０７－４０,0267-32-4711,https://miyotahp.jp/,有,"月・火・水・金 8：30-12：00、14:00-17:00
土・日 8：30-12：00",有,長野県,北佐久郡御代田町,20323,36.310257,138.512192
"独立行政法人国立病院機構
信州上田医療センター",386-8610,長野県上田市緑が丘１－２７－２１,0268-22-1890,https://shinshuueda.hosp.go.jp/,有,24時間対応可,有,長野県,上田市,20203,36.412704,138.249985
諏訪中央病院,391-8503,長野県茅野市玉川４３００番地,0266-72-1000,http://www.suwachuo.jp,有,"24時間対応可能 （診療時間外は救急外来にて救
急担当医（非産婦人科医）の対応となります）",有,長野県,茅野市,20214,35.990711,138.176666
岡谷市民病院,394-8512,長野県岡谷市本町四丁目１１番３３号,0266-23-8000,http://www.okaya-hosp.jp/,有,24時間対応,有,長野県,岡谷市,20204,36.065411,138.048874
"医療法人登誠会
諏訪マタニティークリニック",393-0077,長野県諏訪郡下諏訪町１１２－１３,0266-28-6100,http://temporary.e-smc.jp/info/,有,平日 8：30-11：30,有,長野県,諏訪郡下諏訪町,20361,36.078316,138.079254
伊那中央病院,396-8555,長野県伊那市小四郎久保１３１３番地１,0265-72-3121,https://www.inahp.jp/,有,24時間,有,長野県,伊那市,20209,35.855595,137.95491
下伊那赤十字病院,399-3303,長野県下伊那郡松川町元大島３１５９－１,0265-36-2255,https://shimoina.jrc.or.jp/,有,月曜日 8：30-11：30,有,長野県,下伊那郡松川町,20402,35.60014,137.911255
長野県立木曽病院,397-8555,長野県木曽郡木曽町福島６６１３－４,0264-22-2703,https://kiso-hosp.jp/,有,"平日（月～金） 9：00-17：00 （要予約）が望ましい
が、やむを得ない場合、時間外対応可能（必ず事前
に連絡頂き、来院時間を相談）",有,長野県,木曽郡木曽町,20432,35.835629,137.684204
社会医療法人財団慈泉会 相澤病院,390-8510,長野県松本市本庄２－５－１,0263-33-8600（代）,https://aizawahospital.jp/,有,緊急時対応,有,長野県,松本市,20202,36.227283,137.972931
社会医療法人抱生会 丸の内病院,390-8601,長野県松本市渚１丁目７番４５号,0263-28-3003,http://www.marunouchi.or.jp/,有,平日 9：00-17：00,有,長野県,松本市,20202,36.235699,137.954681
医療法人仁雄会 穂高病院,399-8303,長野県安曇野市穂高４６３４,0263-82-2474,https://hotaka-hospital.or.jp/,有,"月・火・水・金 9：00-12：30、15：30-17：30
木・土 9：00-12：30",有,長野県,安曇野市,20220,36.341885,137.887817
"長野県厚生農業協同組合連合会
北信総合病院",383-8505,長野県中野市西１丁目５番６３号,0269-22-2151,https://www.hokushin-hosp.jp/,有,"平日 8：30-17：00
土日祝日 8：30-12：30",有,長野県,中野市,20211,36.745975,138.366714
JA長野厚生連 長野松代総合病院,381-1231,長野県長野市松代町松代１８３,026-278-2031,http://www.nagano-matsushiro.or.jp/,有,月・火・水・木 9：00-11：30 （休診日除）,有,長野県,長野市,20201,36.563869,138.199188
医療法人慈恵会吉田病院,381-0043,長野県長野市吉田２－１－２６,026-241-5952,https://www.yoshida-hospital.or.jp/,有,"月－金 8：30-12：00、15：00-17：00
土 8：30-12：00",有,長野県,長野市,20201,36.669945,138.218567
長野赤十字病院,380-8582,長野県長野市若里五丁目２２番１号,026-226-4131,http://www.nagano-med.jrc.or.jp/,有,平日 8：30-17：00,有,長野県,長野市,20201,36.628452,138.189758
いまいレディースクリニック,385-0022,長野県佐久市岩村田２０１５－１,0267-66-7050,https://www.imai-ladies.jp/,有,"月・火・水・金 9：00-12：00、15：00-18：00
木・土 9：00-12：00",有,長野県,佐久市,20217,36.266914,138.470734
"医療法人花岡医院
花岡レディースクリニック",384-0033,長野県小諸市市町５－４－１６,0267-23-4103,http://www.hanaoka-lc.jp/,有,"月・水・金 9：00-11：30、15：00-16：45
火・木・土 9：00-11：30",有,長野県,小諸市,20208,36.336353,138.415375
板倉レディースクリニック,381-2217,長野県長野市稲里町中央一丁目１２番１２号,026-291-0707,http://www.itakura-cli.jp/,有,"月～土 8：30-11：30
月・火・木・金 14：00-16：00",有,長野県,長野市,20201,36.604893,138.172028
清水産婦人科医院,381-2224,長野県長野市川中島町原９０８－１,026-219-3838,https://www.shimizuclinic.jp/,有,"平日（水曜日以外） 9：00-12：00、15：00-17：15
水・土 9：00-11：00",有,長野県,長野市,20201,36.585884,138.151794
