施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
岐阜赤十字病院,502-8511,岐阜県岐阜市岩倉町3-36,058-231-2266,http://www.gifu-med.jrc.or.jp/,有,指定なし（但し、近隣に不在の時をはじめ、対応不可の可能性あり）,有,岐阜県,岐阜市,21201,35.433792,136.756226
操レディスホスピタル,502-0846,岐阜県岐阜市津島町6丁目19番地,058-233-8811,https://www.misao-ladies.jp/,有,"月・火・水・金曜日 午前 9:30～12:30午後 3:30～ 7:00
木曜日 午前 9:30～12:30
土曜日 午前 9:30～12:30午後 2:00～ 5:00
休日当番9:00～18:00",有,岐阜県,岐阜市,21201,35.435169,136.759827
朝日大学病院,500-8523,岐阜県岐阜市橋本町3丁目23番地,058－253-8001,https://www.hosp.asahi-u.ac.jp/,有,月 ～ 金（8：30 ～ 11：30） 要予約,有,岐阜県,岐阜市,21201,35.41061,136.750473
"医療法人社団 誠広会
平野総合病院",501-1192,岐阜県岐阜市黒野176番地5,058-239-2325,www.hiranogh.com,有,終日可能（ただし、呼び出しのため時間のかかる場合あり）,有,岐阜県,岐阜市,21201,35.458584,136.727081
岩砂病院・岩砂マタニティ,502-0812,岐阜県岐阜市八代1-7-1,058-231-2631,https://yuuaikai-gifu.or.jp/,有,"月曜～金曜 9：00～17：00
土曜9：00～16：00
日・祝は対応できません",有,岐阜県,岐阜市,21201,35.458,136.774445
"医療法人社団 真和会
マナベ産婦人医院",501-0123,岐阜県岐阜市鏡島2-19-5,058-253-3335,0,有,月火水金 9：00～18：00 木土9：00～12：00,有,岐阜県,岐阜市,21201,35.416279,136.726364
石原産婦人科,501-3146,岐阜県岐阜市芥見嵯峨2丁目145,058-241-3535,https://ishihara-sanfujinka.com/,有,8:00～17:00（曜日問わず） 夜の問い合わせも可,有,岐阜県,岐阜市,21201,35.439453,136.841888
髙橋産婦人科,500-8818,岐阜県岐阜市梅ケ枝町3丁目41-3,058-263-5726,takahashi-ladies.jp,有,"平日（木は午前中）9:00～12:00 16:00～19:00
土9:00～12:00 14:00～16:00",有,岐阜県,岐阜市,21201,35.424236,136.752533
真鍋婦人科,500-8847,岐阜県岐阜市金宝町1-11,058-262-3224,0,有,"平日 9:00～12：00,14:00～17:00
木、土 9:00～12：00",有,岐阜県,岐阜市,21201,35.414944,136.759247
古田産科婦人科クリニック,500-8842,岐阜県岐阜市金町7丁目3,058-265-2395,furuta-ob-gyn-clinic.la.coocan.jp/,有,"平日 8:30-19:00（水曜日のみ 8:30-12:00）
土曜日 8:30-16:00",有,岐阜県,岐阜市,21201,35.413013,136.757019
宮崎レディスクリニック,500-8474,岐阜県岐阜市加納本町３の５,058-271-3344,www.miyazaki-ob-gy.jp,有,"月・水・金9：00～12：00、17：00～19：00
火9：00～12：00、16：00～17：30
土9：00～12：00",有,岐阜県,岐阜市,21201,35.405785,136.758469
西岐阜産婦人科医院,500-8381,岐阜県岐阜市市橋5-3-9,058-272-3881,www.nishigifu-maternity.jp,有,"平日 9:30～12：30 15:30～18:30
（木曜日は午前中のみ、但しかなりの緊急時、受診可能の場合、
時間外料金になります）",有,岐阜県,岐阜市,21201,35.403442,136.722397
小倉医院,502-0047,岐阜県岐阜市長良葵町1丁目2番地の3,058-231-1573,0,有,"平日、土曜日 8:30～13:00,17:00～19:30
祝日休日 8:30～12:00 第3日曜休診",有,岐阜県,岐阜市,21201,35.446419,136.775955
医療法人高井外科,502-0857,岐阜県岐阜市正木１９７８－７２,058-232-6055,http://takailadies.net,有,平日（木曜以外）9：00～17：00、土9：00～13：00,有,岐阜県,岐阜市,21201,35.446903,136.746628
宮﨑千惠婦人クリニック,502-0071,岐阜県岐阜市長良１９７２－５,058-233-5553,なし,有,"月・火・木・金9：00～18：15 土9：00～12：00
休日でも電話対応にて可能",有,岐阜県,岐阜市,21201,35.45108,136.776428
基生会おおのレディースクリニック,502-0901,岐阜県岐阜市光町１－４４,058-233-0201,www.ohno-lc.com,有,平日9：30～12：30、16：00～19：00 土、日9：30～12：30,有,岐阜県,岐阜市,21201,35.433479,136.745346
"レディースクリニック
まぶち",502-0881,岐阜県岐阜市正木北町１２番１０号,058-297-1103,www.lc-mabuchi.or.jp,有,"月・火・水・金・土 9:30～12:30,17:00～20:00
木 9:30～12:30",有,岐阜県,岐阜市,21201,35.453388,136.74646
