,施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
有,臼井医院,415-0022,静岡県下田市２丁目3-27,0558-22-1221,,有,"平日9時～17時
土9時～12時
時間外・休診日・祝日・日曜は電話にて要相談",有,静岡県,下田市,34.674309,138.943588
有,伊豆今井浜病院,413-0503,静岡県賀茂郡河津町見高178,0558-34-1123,https://izuimaihama.jadecom.or.jp/,有,"火・木9時～11時30分
水・金9時～11時30分、13時～16時",無,静岡県,賀茂郡河津町,34.755119,139.004715
有,伊東市民病院,414-0055,静岡県伊東市岡196-1,0557-37-2626,http://www.ito-shimin-hp.jp/,有,24時間対応可能,有,静岡県,伊東市,34.961136,139.088379
有,"上山レディース
クリニック",414-0051,静岡県伊東市吉田573-3,0557-45-8103,ueyamasanfujinka.com,有,8時～12時,有,静岡県,伊東市,34.936069,139.1194
有,佐藤産婦人科医院,414-0005,静岡県伊東市松原湯端町3-18,0557-37-5321,,有,"月・水・金9時～12時、15時～17時
土9時～12時",有,静岡県,伊東市,34.972244,139.091492
有,"井関マタニティ
クリニック",410-0881,静岡県沼津市八幡町115,055-952-4103,,有,"平日8時～11時30分、13時30分～15時30分
水午後・土・日・祝日休診",有,静岡県,沼津市,35.097477,138.856277
有,岩端医院,410-0801,静岡県沼津市大手町3-2-19,055-962-1368,http://www.iwahata.jp,有,"月・火・木・金9時～12時、14時～18時
水・土9時～12時",有,静岡県,沼津市,35.10162,138.860458
有,かぬき岩端医院,410-0822,静岡県沼津市下香貫前原1479-3,055-932-8189,https:/www.kanuki-iwahata.com/,有,"月・火・水・金8時45分～18時
木・土8時45分～11時30分",有,静岡県,沼津市,35.078705,138.878036
有,かまたクリニック,411-0033,静岡県三島市文教町1-1-35,055-988-2488,かまたクリニック.jp,有,"月・火・木・金9時～12時、14時30分～17時30分
土9時～12時",有,静岡県,三島,35.128239,138.914581
有,"こまきウイメンズ
クリニック",411-0038,静岡県三島市西若町7-45,055-972-1057,komaki-womenclinic.jp,有,"平日9時～12時15分、14時30分～18時15分
土9時～12時45分
水・日・祝日休",有,静岡県,三島,35.120155,138.905716
有,田中産婦人科医院,411-0858,静岡県三島市中央町6-23,055-971-3541,http://www.tanaka-og.jp/,有,"月・水・金9時～12時、14時～17時
火・木・土9時～12時",有,静岡県,三島,35.121429,138.917053
