施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯（祝日のある週は診療日が異なる可能性がありますので事前に対応可能か電話で確認することをおすすめします。）,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
医療法人東恵会星ヶ丘マタニティ病院,464-0026,愛知県名古屋市千種区井上町27,052-782-6211,http://www.toukeikai.com/,有,"月水金 9:00～12:00 17:30～19:00
火木土 9:00～12:00",有,愛知県,名古屋市千種区,23101,35.162445,136.983017
名古屋市立大学医学部附属西部医療センター,462-8508,愛知県名古屋市北区平手町一丁目1番地の1,052-991-8121,http://www.west-medical-center.med.nagoya-cu.ac.jp/,有,平日8:45～17:15 (夜間、土、日、祝日も状況次第で対応可能）,有,愛知県,名古屋市,,35.202358,136.90184
岩田病院,453-0014,愛知県名古屋市中村区則武1-1-11,052-451-1552,https://iwata-hospital.com/,有,"月水金 9:00～12:00 17:00～19:00
火木 9:00～12:00",有,愛知県,名古屋市中村区,23105,35.173473,136.878937
名古屋掖済会病院,454-8502,愛知県名古屋市中川区松年町4－66,052-652－7711,http://www.nagoya-ekisaikaihosp.jp/,有,緊急避妊の場合は24時間対応可,有,愛知県,名古屋市,,35.119919,136.873505
社会医療法人 宏潤会 大同病院,457-8511,愛知県名古屋市南区白水町9,052-611-6261,https://daidohp.or.jp/,有,"緊急避妊の場合は24時間対応可
※ 薬の在庫がない可能性があるため事前に電話で要確認",有,愛知県,名古屋市,,35.07468,136.907043
総合病院南生協病院,459-8540,愛知県名古屋市緑区大高二丁目204,052-625-0373,https://www.minami-hp.jp/,有,"月～土 9:00～11:30
※ 月～金 9:00～17:00 電話相談可",無,愛知県,名古屋市,,35.058113,136.934799
日本赤十字社愛知医療センター名古屋第二病院,466-8650,愛知県名古屋市昭和区妙見町2-9,052-832-1121,https://www.nagoya2.jrc.or.jp/,有,緊急避妊の場合は24時間対応可,有,愛知県,名古屋市,,35.145416,136.965668
咲江レディスクリニック,464-0066,愛知県名古屋市千種区池下町二丁目１５番地 ハクビ池下ビル ５階,052-757-0222,http://www.sakieladiesclinic.com/,有,"【月火水金】10：00～13：00、15：00～18：00
【土】10：00～13：00",有,愛知県,名古屋市千種区,23101,35.168499,136.946671
医療法人博報会上野産婦人科,464-0082,愛知県名古屋市千種区上野１－１－11,052-721-0321,https://ueno-sanfujinka.jp/,有,"【月火水金】9：00～12：00、18：00～19：30
【木・土】9：00～12：00",有,愛知県,名古屋市千種区,23101,35.182117,136.951248
医療法人秀峰会 レディースクリニック山原,464-0850,愛知県名古屋市千種区今池四丁目14番3号 愛知県,052-731-8181,https://nagoya-yamahara-lc.jp/,有,"【平日．土】10：00～13：00
【月火水金】16：30～19：00",有,愛知県,名古屋市千種区,23101,35.169518,136.938995
