施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
小塚産婦人科,５１１－０８２１,三重県桑名市大字矢田４１９ー１,０５９４－２２－０９３９,https://kozuka-ladies.com,有,"月・火・水・金 9:00～12:00 15:00～18:00
木・土 9:00～12:00
その他・時間外・休日も対応可",有,三重県,桑名市,24205,35.058292,136.671631
三重北医療センターいなべ総合病院,５１１－０４２８,三重県いなべ市北勢町阿下喜７７１,０５９４－７２－２０００,http://www.miekosei.or.jp/4_ish/,有,"平日8:30～17:00
土・日・祝日 8:30～12:00",有,三重県,いなべ市,24214,35.146221,136.513992
ザ・クリニック,５１０－８１０３,三重県三重郡朝日町大字柿７７６－１,０５９-３７６－２０３０,https://www.the-clinic.jp,有,"月・火・金 9:00～12:00
13:00～16:00
水・土 9:00～12:00
木 9:00～12:00 15:00～18:00",有,三重県,三重郡朝日町,24343,35.033939,136.65715
おばたレディースクリニック,５１２－０９３４,三重県四日市市川島町６８４２－１,０５９-３２０-１２１２,www.obata-lc.com,有,"水曜を除く平日
9:00～12:00 15:00～18:30
土曜 9:00～12:00 14:00～17:00",有,三重県,四日市,,34.968712,136.549942
四日市レディースクリニック,５１２－０９３２,三重県四日市市小生町字西川原800,０５９-３２２-１１３１,http://www.yokkaichi-ladys.com/,有,"月・水・金 9:00～12:00
15:30～18:30
火・木 9:00～12:00
土曜 9:00～12:00 14:00～17:00",有,三重県,四日市,,34.975132,136.577286
中尾産婦人科,５１０－８０２７,三重県四日市市茂福弓田６１２－１,０５９-３６４-３２１０,,有,"平日 9:00～12:00 15:00～18:30
土曜 9:00～12:00
火・祭日・日・土曜午後休診",有,三重県,四日市,,35.006645,136.633926
守屋レディースクリニック,５１０－００１２,三重県四日市市羽津４６６１,０５９-３６３-８８０３,http://www.moriya-lc.com,有,"月・火・木・金・土
AM 9:00～12:00
PM 3:30～6:30",有,三重県,四日市,,35.011307,136.62648
慈芳産婦人科,５１０－０８３４,三重県四日市市常盤４丁目４－１７,０５９-３５３-０５０８,https://jiho-bebe.com/,有,"水曜を除く平日 9:00～12:00
15:00～18:00
土曜 9:00～12:00",有,三重県,四日市,,34.965092,136.62442
県立総合医療センター,５１０－８５６１,三重県四日市市大字日永５４５０－１３２,０５９-３４５-２３２１,https://www.mie-gmc.jp/,有,常時,有,三重県,四日市,,34.941895,136.587097
こうのとりＷ０ＭＥＮ’ｓCAREクリニック,５１０－００８６,三重県四日市市諏訪栄町176ﾛｰﾚﾙﾀﾜｰｼｭﾛア四日市204,０５９-３５５-５５７７,http://www.ko-notori-ivf.com/,有,"(月・火・水・金・土) 9:30～12:30
(月・火・水・金) 15:30～19:00",有,三重県,四日市,,34.967148,136.620987
かっさいレディースクリニック,５１０－００３５,三重県四日市市陶栄町2－2,０５９-３２８-５５００,,有,"AM 9:00～12:00
PM 16:00～19:00
(木・土はAMのみ・日祝は休み)
(初診はAM11:30,PM18:30まで)",有,三重県,四日市,,34.977371,136.625351
あきながレディースクリニック,５１０－０２５８,三重県鈴鹿市秋永町７８７－３,０５９-３８０－６０９０,,有,"月・火・木・金 9:00～18:00
水・土 9:00～12:00",有,三重県,鈴鹿市,24207,34.816532,136.550842
鈴木レディースクリニック,５１３－０８３５,三重県鈴鹿市平野町７７４０－1,０５９-３７０－５１５１,https://www.slc-mie.com,有,"月・水・金 9:00～12:30
15:00～18:30
火・木・日 9:00～12:30
土 9:00～12:30
14:00～16:00",有,三重県,鈴鹿市,24207,34.867985,136.51889
白子ウィメンズホスピタル,５１３－０２３５,三重県鈴鹿市南江島町９－1５,０５９-３８８－２２２１,http://www.shiroko-clinic.com/womens/,有,"月・火・木・金 9:00～12:00
15:00～18:00
土 9:00～12:00
14:00～17:00",有,三重県,鈴鹿市,24207,34.839409,136.59201
宮崎産婦人科,５１３－０８４４,三重県鈴鹿市平田２丁目１－８,０５９-３７８－８８１１,www.miyazaki-clinic.jp,有,"月・水・金 9:00～18:00
火 9:00～17:00
木・土 9:00～12:00",有,三重県,鈴鹿市,24207,34.874241,136.538208
鈴鹿中央総合病院,５１３－０８１８,三重県鈴鹿市安塚町山之花１２７５－５３,０５９-３８２－１３１１,http://www.miekosei.or.jp/2_sch/index.html,有,平日 8:30～11:30,無,三重県,鈴鹿市,24207,34.866138,136.569916
宮村産婦人科,５１９－０１１６,三重県亀山市本町３丁目８－７,０５９５－８２－５１５１,http://www.medic-grp.co.jp/doctor/miyamura,/ 有,"月・火・水・金
8:30～12:00 15:30～18:30
土 8:30～12:30",有,三重県,亀山市,24210,34.855545,136.460205
金丸産婦人科,５１４－００６２,三重県津市観音寺７９９－７ＴＴＣ医療ビル１Ｆ,０５９－２２９－５７２２,http://kanamaru.webmedipr.jp,有,"平日9:00～18:30
木 9:00～12:30
土 9:00～17:00
先に電話相談要",有,三重県,津市,24201,34.730515,136.499527
セントローズクリニック,５１４－００４２,三重県津市新町１丁目５－１６,０５９－２２１－５５５５,https://st-rose.jp,有,24時間可,有,三重県,津市,24201,34.716129,136.498825
津西産婦人科,５１４－００５１,三重県津市納所町字蔵田６８６－１,０５９－２２５－２２３５,,有,"平日･土曜8:30～12:00､14:30～18:30
木曜 8:30～12:00",有,三重県,津市,24201,34.728725,136.484085
ながたレディースクリニック,５１４－０８１５,三重県津市大字藤方１５０,０５９－２３８－５６７８,http://www.nagata-ladies.jp,有,"月～水・金・土 9:00～12:30 16:00～18:30
夜間・日・祝日は要連絡",有,三重県,津市,24201,34.690361,136.516327
藤田産婦人科,５１４－０８３２,三重県津市南中央２－２,０５９－２２７－７２８８,,有,"月・水・金 9:00～18:00
土 9:00～17:00",有,三重県,津市,24201,34.704266,136.509354
ヤナセクリニック,５１４－００１６,三重県津市乙部５－３,０５９－２２７－５５８５,www.pmc.or.jp,有,"平日 9:00～19:00
土曜 9:00～17:00
木曜 9:00～12:00",有,三重県,津市,24201,34.716885,136.516327
三重レディースクリニック,５１４－１１１３,三重県津市久居野村町３６６－１,０５９－２５６－４１４１,http://www.mieladies.com/,有,"平日 9:30～12:30 15:30～18:30
土曜 9:30～12:30 14:00～17:00",有,三重県,津市,24201,34.676285,136.481506
清水レディースクリニック,５１４－１１１８,三重県津市久居新町３００６ポルタひさい１Ｆ,０５９－２５４－３５００,,有,"平日 9:30～12:30 16:00～19:00
土曜 9:30～12:30",有,三重県,津市,24201,34.675495,136.4776
河合産婦人科,５１５－０８１２,三重県松阪市船江町３－３,０５９８－２６－８５８５,https://www.san-kawai.jp/,有,"月・火・水・金・土
9:00～12:00 15:00～18:00",有,三重県,松阪市,24204,34.589184,136.52002
松本クリニック,５１５－００４５,三重県松阪市駅部田町１６１９－４５,０５９８－２６－３５５５,,有,"月・火・水・金・土
9:00～12:00 15:00～18:00",有,三重県,松阪市,24204,34.551102,136.524857
南産婦人科,５１５－００４３,三重県松阪市下村町１０４１,０５９８－２９－２０２０,https://minami-sanfujinka.com,有,"平日 9:00～12:00 16:00～19:00
(木)除く
土曜 9:00～12:00 14:00～17:00",有,三重県,松阪市,24204,34.554966,136.547928
松阪中央総合病院,５１５－０８１８,三重県松阪市川井町字小望１０２,０５９８－２１－５２５２,http://www.miekosei.or.jp/1_mch/index.html,有,平日 8:30～17:30,無（院外処方対応）,三重県,松阪市,24204,34.582043,136.510986
小原産婦人科,５１６－００７２,三重県伊勢市宮後町１丁目５－３,０５９６－２８－８１１１,www.ohara-lc.jp,有,月・火・水・金.土 9:00～18:00,有,三重県,伊勢市,24203,34.491867,136.706985
菊川産婦人科,５１６－００７１,三重県伊勢市一之木5-15-5,０５９６－２３－１５１５,www.kikukawa.org,有,"平日 9:00～18:00
土曜 9:00～18:00",有,三重県,伊勢市,24203,34.504143,136.708115
本橋産婦人科,５１６－００７１,三重県伊勢市一之木１－８－７,０５９６－２３－４１０３,http://www.motohasi.sakura.ne.jp/,有,"月・水・金 9:00～12:00
15:00～18:00
土 9:00～12:00",有,三重県,伊勢市,24203,34.493801,136.703613
市立伊勢総合病院,５１６－００１４,三重県伊勢市楠部町３０３８,０５９６－２３－５１１１,https://hospital.city.ise.mie.jp/,有,平日 8:30～17:00,有,三重県,伊勢市,24203,34.482861,136.727768
玉石産婦人科,５１６－０８０４,三重県伊勢市御薗町長屋２０４９,０５９６－２２－５６５６,http://www.tamaishi-lc.jp/,有,年中,有,三重県,伊勢市,24203,34.506237,136.71254
やまぐちレディースクリニック,５１９－０５０５,三重県伊勢市小俣町本町３３２１,０５９６－２１－３００１,www.ylcylc.com,有,"月・火・水・金 9:00～18:00
土曜 9:00～17:00",有,三重県,伊勢市,24203,34.501812,136.667114
尾鷲総合病院,５１９－３６５３,三重県尾鷲市上野町５－２５,０５９７－２２－３１１１,http://www.owasehp.jp/,有,平日 8:30～17:00,有,三重県,尾鷲市,24209,34.069599,136.188141
大石産婦人科医院,５１９－４３２５,三重県熊野市有馬町201,０５９７－８９－１７１７,,有,"月・水・金 9:00～12:00
13:30～17:00
火・木・土 9:00～12:00",有,三重県,熊野市,24212,33.878174,136.091019
中産婦人科緑ヶ丘クリニック,５１８－０８３６,三重県伊賀市緑ヶ丘本町７６１,０５９５－２１－５６７８,http://midorigaokaclinic.com,有,"月・火・水・金 9:00～13:00 16:00～19:00
木・土 9:00～13:00
日・祝・GW・お盆・年末年始除く",有,三重県,伊賀市,24216,34.76379,136.140793
森川病院,５１８－０８５４,三重県伊賀市上野忍町２５１６－７,０５９５－２１－２４２５,http://www.morikawa-wh.jp,有,"月・火・水・金 9:00～12:00
17:00～19:00
木・土 9:00～12:00",有,三重県,伊賀市,24216,34.763718,136.130646
藤本産婦人科,５１８－０７１３,三重県名張市平尾３０６８－９,０５９５－６３－０９９５,http://website2.infomity.net/8390000053/,有,"月・火・金 10:00～18:30
水 14:30～18:30
木 9:00～12:00
土 9:00～13:00",有,三重県,名張市,24208,34.619808,136.09787
武田産婦人科,５１８－０７０１,三重県名張市鴻之台１－１４４,０５９５－６４－７６５５,https://takeda-clinic.com/,有,月～日 AM9:00～PM8:00,有,三重県,名張市,24208,34.62891,136.109634
卓山医院,５１８－０６３１,三重県名張市桔梗が丘南１番町１街区１５－４,０５９５－６５－０００１,http://www.takayama-clinic.net,有,"(平日) 9:00～12:00 15:00～18:30
（休診日）木・土曜午後・日・祝日",有,三重県,名張市,24208,34.636032,136.119446
三重北医療センター菰野厚生病院,５１０－１２３４,三重県三重郡菰野町福村７５,059-393-1212,http://www.miekosei.or.jp/3_kkh/index.html,有,平日 8:30～11:30,有,三重県,三重郡菰野町,24341,35.008923,136.520645
