施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
"京都府立医科大学附属北部医
療センター",629-2261,京都府与謝郡与謝野町字男山481番地,0772-46-3371,http://nmc.kpu-m.ac.jp/,有,土日祝及び救急以外で対応,"無（近隣薬局に
は常時在庫有）",京都府,与謝郡与謝野町,35.570751,135.165894
京丹後市立弥栄病院,627-0111,京都府京丹後市弥栄町溝谷3452-1,0772-65-2003,https://www.city.kyotango.lg.jp/yasaka_hospital/,有,平日9:00-17:00,有,京都府,京丹後市,35.656845,135.120285
公益財団法人 丹後中央病院,627-0012,京都府京丹後市峰山町杉谷158番地の1,627-0012,https://www.tangohp.com/,有,なし,無,京都府,京丹後市,35.626671,135.060455
市立福知山市民病院 ６,２０－８５０,京都府京５都府福知山市厚中町２３１番地,0773-22-2101,http://www.city.fukuchiyama.lg.jp/site/hosp/,有,無,無,京都府,京５都府福知山市,35.624168,135.060989
由良産婦人科石原分院,620-0804,京都府福知山市石原一丁目１５番地,0773-22-3550,なし,有,"平日9:00～11:30、16:00～18:00
土曜9:00～12:00",有,京都府,福知山市,35.301079,135.181244
"医療法人慈光会 岡本産婦人
科",620-0054,京都府福知山市末広町３丁目１２番地,0773-22-4319,http://www.okamoto-obgy.jp,有,"月・水・金 9:00～14:00、17:00～19:00
火・木・土 9:00～12:00",有,京都府,福知山市,35.299221,135.117081
本町医院,620-0047,京都府福知山市天田７３－１,0773-22-2887,なし,有,平日・土曜 9:00～13:00,有,京都府,福知山市,35.300575,135.121124
"国家公務員共済組合連合会
舞鶴共済病院",625－8585,京都府舞鶴市字浜1035番地,0773－62－2510,http://www.kkr.or.jp/hospital/maizuru,有,"受付（平日8：30～11：30） 時間外，休日、深夜において対応可 （但し診察に対し加算算
定）",有,京都府,舞鶴市,35.469704,135.391434
"独立行政法人国立病院機構
舞鶴医療センター",625－8502,京都府舞鶴市字行永2410番地,0773－62－2680,http://maizuru.hosp.go.jp/,有,平日9：00～11：00 ※土日祝は不可,無,京都府,舞鶴市,35.461555,135.401459
片山産婦人科,624－0906,京都府舞鶴市倉谷400－1,0773－77－2628,www.k-angel.sakura.ne.jp,有,平日9：00～11：30、16：00～18：30 土曜9：00～11：30,有,京都府,舞鶴市,35.443195,135.332825
白鳥産婦人科,624－0912,京都府舞鶴市字上安中ノ脇1700,0773－76－1111,http://www.shiratori-hp.com,有,月火水木金土9：00～13：00 月火木16：00～19：00,有,京都府,舞鶴市,35.457214,135.349899
"医療法人芽生会
山口マタニティクリニック",621-0828,京都府亀岡市篠町馬堀駅前２－４－７,0771-22-3518,http://www.yamaguchi-mc.jp,有,月・火・水・金：9:00-12:00 17:00-19:00 木・金：9:00-13:00,有,京都府,亀岡市,35.010929,135.603851
医療法人田村産婦人科医院,621-0805,京都府亀岡市安町野々神２８,0771-24-3151,https://tamura-hp.com,有,月・火・水・金：9:00-12:00 18:00-20:00 木・土：9:00-12:00,有,京都府,亀岡市,35.014156,135.571701
医療法人武部診療所,603-8214,京都府京都市北区紫野雲林院町１２,075-414-1118,http://www.takebe-cl.com/,有,"月水金9：30～12：00，18：00～20：00
土 9：30～12：00",有,京都府,京都市北区,35.039734,135.748474
産婦人科鈴木医院,603-8066,京都府京都市北区上賀茂池殿町１番地の４,075-721-9586,,有,外来診療時間内,有,京都府,京都市北区,35.057652,135.752594
京都府立医科大学附属病院,602-8566,京都府京都市上京区河原町広小路上る梶井町465,075-251-5111,https://www.h.kpu-m.ac.jp/,有,24時間,無,京都府,京都市,35.113026,135.721939
総合病院日本バプテスト病院,606-8273,京都府京都市左京区北白川山ノ元町４７,075-781-5191,https://www.jbh.or.jp/,有,"月～金9：00～16：30
土9：00～12：00",無,京都府,京都市左京区,35.033455,135.795746
"医療法人社団幸得会貫戸産婦
人科医院",606-8173,京都府京都市左京区一乗寺梅ノ木町１２番地,075-781-5216,http://www.kanto-clinic.com/sp/,有,外来診療時間内,有,京都府,京都市左京区,35.040768,135.786407
医療法人仁愛会川村産婦人科,606-0864,京都府京都市左京区下鴨高木町４０番地,075-781-0029,http://www.kawamura-lc.net/,有,外来診療時間内,有,京都府,京都市左京区,35.043983,135.777176
"医療法人社団糺森翠泉会森産
婦人科医院",606-0807,京都府京都市左京区下鴨泉川町６２の２,075-781-7700,http://www.moriobgy.com/,有,"月～金9：00～12：30
月火木金17：30～19：30
水13：00～15：00
土9：00～12：00",有,京都府,京都市左京区,35.035309,135.772934
岡村医院,606-8447,京都府京都市左京区鹿ヶ谷上宮ノ前町19番地の1,075-751-1981,,有,外来診療時間内,有,京都府,京都市左京区,35.018845,135.791702
"医療法人もりもとレディース
クリニック",606-8211,"京都府京都市左京区田中西大久保町13番地1伊佐
ビル1階",075-702-1703,http://www.morimoto-lc.com/,有,外来診療時間内,有,京都府,京都市左京区,35.037399,135.781448
"地方独立行政法人京都市立病
院機構京都市立病院",604-8845,京都府京都市中京区壬生東高田町1番地の2,075-311-5311,http://www.kch-org.jp/,有,月～金8：30～11：00,有,京都府,京都市中京区,34.997562,135.73465
医療法人究理堂小石医院,604-0094,"京都府京都市中京区釜座通竹屋町下る亀屋町335
番地",075-231-3419,https://www.koishi-i-in.com/,有,外来診療時間内,有,京都府,京都市中京区,35.010525,135.760208
