施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
医療法人瑞称会くれはの里レディースクリニック,563-0022,大阪府池田市旭丘2-4-17,072-748-1122,http://www.kurehanosato.jp,有,"9:30-12：30（火・水・木・土）
15：30-19：00（月・火・木・金）",有,大阪府,池田市,34.823318,135.447617
箕面市立病院,562-0014,大阪府箕面市萱野５－７－１,072-728-2001,https://minoh-hp.jp/,有,平日・土日祝日 0:00－23:59,有,大阪府,箕面市,34.823154,135.483505
共立さわらぎ産婦人科,562-0025,大阪府箕面市粟生外院6-3-5,072-726-1103,http://www.sawaragi-hosp.jp/,有,平日9:00-19:00、土曜9:00-16:00,有,大阪府,箕面市,34.84375,135.503464
松崎産婦人科クリニック,563-0055,"大阪府池田市菅原町３－１
ステーションＮ２階 ２０２号ー２",072-750-2025,http://www.matsuzaki-clinic.com,産婦人科で有,"平日9:00-12:00、16:30-19:30
土曜9:00-12:00",有,大阪府,池田市,34.821121,135.427109
川口レディースクリニック,563-0048,"大阪府池田市呉服町１－１
サンシティ池田３０５",072-753-5888,https://kawaguchi-ladies.com,有,"月-土9:00-12:00
月、木14:30-17:30
火、金17:00-20:00",有,大阪府,池田市,34.821445,135.425156
"医療法人徳洲会
吹田徳洲会病院",565-0814,大阪府吹田市千里丘西21-1,06-6878-1110,https://www.suita.tokushukai.or.jp,有,"平日 9:00-17:00
土曜 9:00-12:00",有,大阪府,吹田市,34.79718,135.543076
大阪府済生会吹田病院,564-0013,大阪府吹田市川園町1-2,06-6382-1521,https://www.suita.saiseikai.or.jp,有,日勤、当直（24時間可能）,有,大阪府,吹田市,34.7616,135.534607
大阪府済生会千里病院,565-0862,大阪府吹田市津雲台1丁目1-6,06-6871-0121,http://www.senri.saiseikai.or.jp,有,"平日 9:00-17:00
土曜 9:00-12:00
※院外処方対応のみ",無,大阪府,吹田市,34.79488,135.510178
市立吹田市民病院,564-8567,大阪府吹田市岸部新町5-7,06-6387-3311,https://www.suitamhp.osaka.jp,有,平日 8:30-11:00,有,大阪府,吹田市,34.77626,135.537354
"医療法人ボンヌサンテ
宇田レディースクリニック",565-0854,"大阪府吹田市桃山台5丁目2-3
アザール桃山台3階",06-6833-0558,"http://www.eonet.ne.jp/-bonnesante/index.ht
ml",有,"月・火・水・金曜
9:00-12:00、16:00-19:00
土曜 9:00-12:00",有,大阪府,吹田市,34.792252,135.495483
飯藤産婦人科,564-0041,大阪府吹田市泉町5丁目6-6,06-6388-0141,http://www.iito.jp,有,"月～土曜 9:00-13:00
月・水・金曜 17:30-19:30",有（少量）,大阪府,吹田市,34.762127,135.513229
いとうレディースクリニック,565-0844,大阪府吹田市千里山霧が丘1-5-101,06-6369-7333,http://ito-lc.com,有,"平日 9:00-12:30、15:00-19:00
土曜 9:00-16:00",有,大阪府,吹田市,34.779026,135.505951
"医療法人社団公仁会
城クリニック",564-0031,大阪府吹田市元町26-10,06-6381-2281,http://www.jyo-clinic.jp,有,"月～土曜 9:00-12:00
月曜 13:00-19:00
火・水・金曜 16:30-19:00",有,大阪府,吹田市,34.759941,135.520294
"医療法人琢生会
神田マタニティクリニック",564-0063,大阪府吹田市江坂町3丁目31-5,06-6330-1135,http://www.kanda-mc.com,有,"月～金曜 9:00-12:00、17:00-19:00
土曜 9:00-12:00、14:00-16:00",有,大阪府,吹田市,34.764431,135.489426
"医療法人琢生会
神田マタニティクリニック分院",564-0053,"大阪府吹田市江の木町5-26
プラトゥビル3階",06-6339-7241,http://www.kandaclinic.com,有,"月・火・水・金・土曜 9:30-13:00
月・金曜 14:30-16:30
月・水曜 17:30-20:00",有,大阪府,吹田市,34.756542,135.494934
"医療法人優美会
吉井クリニック",564-0051,"大阪府吹田市豊津町1-21
エサカ中央ビル5階",06-6388-0110,http://www.yoshiiclinic.jp/,有,"月・火・水・金・土曜 10:00-13:00
月・火・水・金曜 15:00-19:00",有,大阪府,吹田市,34.760098,135.496902
