施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
六甲アイランド甲南病院,658-0032,兵庫県神戸市東灘区向洋町中2丁目11番地,078-858-1111,http://kohnan.or.jp/rokko/,有,月・火・木・金 9:00-11:30 のみ対応可,有,兵庫県,神戸市東灘区,28101,34.688877,135.27037
"神戸市立医療センター西市
民病院",653-0013,兵庫県神戸市長田区一番町２丁目４番地,078-576-5251,,有,"平日 9:00-11:30
（火・木曜日は9:00-10:30）",無,兵庫県,神戸市長田区,28106,34.667542,135.156799
"医療法人社団慈恵会 新須
磨病院",654-0048,兵庫県神戸市須磨区衣掛町３丁目１番１４号,078-735-0001,"https://www.jikeikai-
group.or.jp/shinsuma/",有,平日（含む、土曜日） 9:00～12:00,無,兵庫県,神戸市須磨区,28107,34.645756,135.12973
"医療法人社団純心会パルモ
ア病院",650-0012,兵庫県神戸市中央区北長狭通４－７－２０,078-321-6000,http://www.palmore.or.jp/,有,"１)平日および土曜: 8:30-18:00 （ただし、通常
の診療時間内は予約またはご来院の順にしたがっ
て対応します）
２)日曜祝日は当院受診歴のある方に限り10:00-
18:00の時間帯のみ対応可能 （ただし、分娩手
術等のため長時間お待たせする可能性有り）",有,兵庫県,神戸市中央区,28110,34.690727,135.186432
池田診療所,658-0001,兵庫県神戸市東灘区森北町２丁目２番３号,078-451-1331,,有,"月曜～土曜 9:00-18:30
（祝祭日、年末年始を除く）",有,兵庫県,神戸市東灘区,28101,34.73037,135.291046
"医療法人社団産科婦人科ナ
カムラクリニック",658-0046,兵庫県神戸市東灘区御影本町２丁目９番１号,078-851-0031,http://www.nakamura-lc.com/,有,"月・火・水・金 9:00-12:00 17:00-19:00
木・土 9:00-12:00",有,兵庫県,神戸市東灘区,28101,34.71347,135.259033
山崎産科婦人科医院,658-0052,兵庫県神戸市東灘区住吉東町2－4－38,078-851-6490,http://yamasaki-lc.ftw.jp,有,"平日9：30-13：00, 15：00-18：00 土曜日9：
00-12：00",有,兵庫県,神戸市東灘区,28101,34.718719,135.26709
"こじまレディースクリニッ
ク",658-0047,兵庫県神戸市東灘区御影２－３２－１２,078-414-7670,http://www.kojima-lc.jp/,有,平日10:00-13:00 16:00-19:00 土曜10:00-13:00,有,兵庫県,神戸市東灘区,28101,34.721355,135.249313
登村レディスクリニック,658-0046,兵庫県神戸市東灘区御影本町４丁目１１－５,078-841-3599,http://www.tomura-lc.com/,有,"月、水、金 9:00-12:00, 16:00-19:00
火、木、土 9:00-12:00",有,兵庫県,神戸市東灘区,28101,34.714512,135.254898
中島クリニック,658-0072,兵庫県神戸市東灘区岡本１－１３－７－２０２,078-431-3230,http://www.nakajima-c.jp/,有,"月～土 9:30-12:30 16:00-19:00
木・土は午前診のみ",有,兵庫県,神戸市東灘区,28101,34.728645,135.276413
