施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"医療法人
中野産婦人科",630-8014,奈良県奈良市四条大路一丁目3番57号,0742-30-0039,http://www.nakano-ladies-cl-shinomiya.com,有,"平日 9:00～17:00
土､日 9:00～17:00",有,奈良県,奈良市,29201,34.681831,135.80423
西村クリニック,630-8014,"奈良県奈良市四条大路１丁目1-30東亜シティプラザ
2F",0742-36-1241,,有,"月･水･木･金 9:30～12:30､16:30～19:30
火･土 9:30～12:30",有,奈良県,奈良市,29201,34.681839,135.805298
高山クリニック,630-8031,奈良県奈良市柏木町190-5,0742-35-3611,http://www.takayama-hp.org/,有,平日､土曜 9:00～12:00,有,奈良県,奈良市,29201,34.668861,135.794968
髙井レディースクリニック,630-8247,奈良県奈良市油阪町1-66,0742-26-0551,http://www.takai-clinic.jp/,有,"平日 8:30～19:00
土曜 8:30～12:00
木･日･祝 休診",有,奈良県,奈良市,29201,34.682484,135.82103
はらだ医院,630-8306,奈良県奈良市紀寺町607,0742-22-6817,https://harada-hospital.com/,有,"月･火･水･金･土 9:00～12:00
月･火･金 17:00～19:00",有,奈良県,奈良市,29201,34.672733,135.833572
"医療法人慈生会
岡村産婦人科",630-8325,奈良県奈良市西木辻町30番地の10,0742-23-3566,http://www.okamura-cl.com,有,"月･火･水･金･土 9:00～13:00
月･水･金 18:00～19:30",有,奈良県,奈良市,29201,34.674118,135.823395
"地方独立行政法人奈良県
病院機構
奈良県総合医療センター",630-8581,奈良県奈良市七条西町二丁目897番5,0742-46-6001,http://www.nara-hp.jp/,有,月～金 8:30～11:00受付,無,奈良県,奈良市,29201,34.663071,135.769989
すぎはら婦人科,631-0003,"奈良県奈良市中登美ケ丘6-3-3リコラス登美ヶ丘A棟
3F",0742-46-4124,http://www.sugiharafujinka.com,有,"月･火･木･金 9:30～12:30､15:30～18:30
土 9:30～12:30､14:00～16:00",有,奈良県,奈良市,29201,34.726208,135.75238
"あやめ池いしい婦人科クリ
ニック",631-0032,"奈良県奈良市あやめ池北一丁目32番21号メディカル
コートあやめ池A204",0742-52-0600,www.ayameike-ishii-wcl.com,有,"平日･土曜 9:00～12:00（木曜を除く）
月･火･金 16:30～19:00
木･日･祝 休診",有,奈良県,奈良市,29201,34.7006,135.762039
ちえクリニック,631-0036,奈良県奈良市学園北１丁目14-13メディカル学園前3F,0742-93-7412,http://chieclinic.com/,有,"月 13:00～15:30
火･金 9:00～15:30
木･土 9:00～18:00",有,奈良県,奈良市,29201,34.699711,135.750778
洋子レディースクリニック,631-0041,奈良県奈良市学園大和町三丁目40番地2,0742-51-1200,http://www.clinicadonna.com/,有,月･火･水･木･金･土 8:30～14:00,有,奈良県,奈良市,29201,34.687309,135.749786
きよ女性クリニック,631-0054,奈良県奈良市石木町50番1,0742-53-0411,http://www.kiyo-clinic.com,有,"月･火･水･金: 9:00～12:00､17:00～20:00
木･土:9:00～12:00",有,奈良県,奈良市,29201,34.664989,135.760086
"医療法人双葉会
富雄産婦人科",631-0074,奈良県奈良市三松4丁目878番地1,0742-43-0381,http://www.tomio-w-clinic.or.jp,有,"月･火･水･木･金･土 9:00～12:00
月･火･金 17:00～21:00",有,奈良県,奈良市,29201,34.702591,135.730209
"医療法人新生会
総合病院高の原中央病院",631-0805,奈良県奈良市右京１丁目3-3,0742-71-1030,http://www.takanohara-ch.or.jp/,有,"平日：8:30～17:00
土曜：8:30～13:00",有,奈良県,奈良市,29201,34.722092,135.789246
