施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
日本赤十字社和歌山医療センター,640-8558,和歌山県和歌山市小松原通4-20,073-422-4171,"https://www.wakayama-
med.jrc.or.jp/",有,常時,有,和歌山県,和歌山市,30201,34.220352,135.168732
秋月レディースクリニック,640-8328,和歌山県和歌山市木広町5-4-4,073-423-9888,http://akizuki-ladies.com/,有,"月火木金9:00-12:00、15:00-18:00
水土9:00-12:00",有,和歌山県,和歌山市,30201,34.22789,135.191635
稲田クリニック,641-0004,和歌山県和歌山市和田461,073-475-3131,https://inadacl.jp/,有,"月火水金9:00-12:00、15:00-18:00
木土9:00-12:00",有,和歌山県,和歌山市,30201,34.200932,135.206406
花山ママクリニック,640-8322,和歌山県和歌山市秋月483,073-471-2250,http://www.curam.co.jp/mama/,有,"月火水金9:00-12:00、15:00-19:00
木土9:00-12:00",有,和歌山県,和歌山市,30201,34.22509,135.207214
岩橋産科婦人科,641-0035,和歌山県和歌山市関戸1-6-44,073-444-4060,https://iwahashi-sanfu.com/,有,"月火水金9:00-12:00、16:00-19:00
木9:00-12:00、18:00-19:00
土9:00-12:00",有,和歌山県,和歌山市,30201,34.199547,135.167923
かさの医院,640-8314,和歌山県和歌山市神前372-1,073-471-1197,http://kasanoiin.com/,有,"月火水金9:00-12:00、16:00-19:00
土9:00-12:00",有,和歌山県,和歌山市,30201,34.209347,135.205368
葵町クリニック,640-8273,和歌山県和歌山市葵町2-33,073-432-7876,http://aoichou.jp/index.html,有,"月水金9:30-12:30、16:00-18:00
火木9:30-12:30
土9:30-12:30",有,和歌山県,和歌山市,30201,34.21418,135.163589
かわばた産婦人科,640-8432,和歌山県和歌山市土入25-1,073-453-0600,"http://www009.upp.so-
net.ne.jp/kawagyne/",有,"月火金9:00-12:00、15:30-16:30
水土9:00-12:00",有,和歌山県,和歌山市,30201,34.252808,135.141937
粉川レディスクリニック,640-8482,和歌山県和歌山市六十谷366-4,073-461-0349,http://kokawa-lc.jp/,有,"月火水金9:30-12:30、16:00-19:00
木土9:30-12:30",有,和歌山県,和歌山市,30201,34.262268,135.205765
瀧口レディースクリニック,640-8341,和歌山県和歌山市黒田109-1,073-473-6220,,有,"月～土9:00-13:00
月火水金15:00-18:00",有,和歌山県,和歌山市,30201,34.23542,135.192368
