施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
岡山赤十字病院,700-8607,岡山県岡山市北区青江2-1-1,086-222-8811,https://www.okayama-med.jrc.or.jp,有,24時間対応可能,有,岡山県,岡山市,34.635818,133.922943
"社会医療法人鴻仁会
セントラル・クリニック伊
島",700-0017,岡山県岡山市北区伊島北町7-5,086-214-5678,https://www.kohjin.ne.jp,有,"平日 9：00-12：30
14：00-17：00 （初診～16：00）
土曜 9：00-12：30",有,岡山県,岡山市北区,34.680717,133.903702
"岡山済生会
外来センター病院",700-0013,"岡山県岡山市北区伊福町1丁目17-
18",086-252-2211,https://www.okayamasaiseikai.or.jp/patient/,有,"平日 初診 8：30-11：30
再診 8：30-11：45",有,岡山県,岡山市北区,34.670609,133.917572
"医療法人 慈光苑
山崎産婦人科医院",700-0024,岡山県岡山市北区駅元町13-3,086-253-6663,無,有,"平日 9：00-12：30、14：00-18：30
水曜日を除く
土曜 9：00-12：30 （月末のみ）",有,岡山県,岡山市北区,34.665733,133.915375
"医療法人福寿会
みおウィメンズクリニック",700-0925,"岡山県岡山市北区大元上町14-25
スタックⅢビル1F",086-805-7955,http://www.miowcl.com,有,"月・火・木・金曜 9：00-16：30
水・土曜 9：00-12：30",有,岡山県,岡山市北区,34.648998,133.89856
みやびウロギネクリニック,700-0822,岡山県岡山市北区表町1-4-1,086-223-1100,http://www.miyabiurogyne.com,有,月・水・木・金・土曜 9：00-17：00,有,岡山県,岡山市北区,34.664791,133.929474
中村産婦人科医院,700-0822,岡山県岡山市北区表町3-17-33,086-232-7893,無,有,"月・火・水・金曜 9：00-12：30
15：00-18：00
木曜 9：00-12：00
土曜 9：00-12：30",有,岡山県,岡山市北区,34.657249,133.927628
井上産婦人科クリニック,700-0903,"岡山県岡山市北区幸町4-12
河田ビル３階",086-801-0037,http://www.inoue-gyne.jp,有,"月・水・金曜 9：00-13：00
15：30-18：00
火・土曜 9：00-13：00
（木・日・祝 休診にて対応不可）","有
（ほぼ）",岡山県,岡山市北区,34.661964,133.922623
"オークスマタニティクリ
ニック",700-0064,"岡山県岡山市北区
大安寺南町2丁目2番5号",086-214-1103,http://oaks-mc.jp,有,"月・火・水・金曜 9：00-12：00
15：30-17：30
木曜 9：00-12：00
土曜 9：00-12：00 13：30-14：30",有,岡山県,岡山市北区,34.658371,133.887772
三宅医院問屋町テラス,700-0977,岡山県岡山市北区問屋町15-101,086-259-4103,https://miyake-miyakegroup.jp/toiyacho,有,"平日 9：00-12:00、15：00-18：00
木・土曜 9：00-12：00",有,岡山県,岡山市北区,34.644176,133.888718
