施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
医療法人社団 正岡病院,730-0852,広島県広島市中区猫屋町４番６号,082-291-3366,https://www.masaoka-hp.com,有,"月・水・金・土8:30-12:30,14:00-17:00/火8:30-
12:30,14:00-18:00
日曜日・祝日も含めて診療時間外でも対応可能ですが，別途
時間外料金をいただいております",有,広島県,広島市中区,34.394981,132.448441
医療法人あかね会 土谷総合病院,730-8655,広島県広島市中区中島町３－３０,082-243-9191,http://www.tsuchiya-hp.jp,有,平日9:00-17:00,有,広島県,広島,34.390396,132.451721
医療法人社団 井原クリニック,730-0011,"広島県広島市中区基町６番２７号 アクア
広島センター街９階",082-225-3360,http://www.ihara-clinic.jp,有,"月・水・金10:00-13:00,14:30-18:00/木10:00-11:30,14:30-
18:00/土10:00-13:00,14:30-17:00 火曜休診",有,広島県,広島市中区,34.395569,132.457184
医療法人 河野産婦人科クリニック,730-0031,広島県広島市中区紙屋町２丁目２番２５号,082-242-1505,,有,"平日9:00-13:00,15:00-18:00/土曜9:00-12:00,13:00-15:00",有,広島県,広島市中区,34.394276,132.456039
医療法人社団 山岡産婦人科,730-0814,広島県広島市中区羽衣町１６番４３号,082-240-1103,,有,"平日10:00-13:00,15:00-18:00/木10:00-13:00/土10:00-
15:00",有,広島県,広島市中区,34.377354,132.449539
こうレディスクリニック,730-0043,広島県広島市中区富士見町１２－１７,082-542-0770,,有,"平日9:00-18:00,土9:00-17:30",有,広島県,広島市中区,34.386471,132.460846
"医療法人 婦人科・内科小松クリニッ
ク",730-0017,"広島県広島市中区鉄砲町１０－１８ 八丁
堀栗村ビル７Ｆ",082-227-3777,http://www.komatu.org/,有,"月・火・木・金9:30-12:30,14:30-18:00/水9:30-12:30/土
9:30-12:00",有,広島県,広島市中区,34.394211,132.463791
産婦人科 長尾クリニック,730-0016,広島県広島市中区幟町１４番１１号 ３Ｆ,082-502-7002,http://www.nagao-clinic.gr.jp,有,10:00-14:00 日・祝休診,有,広島県,広島市中区,34.393433,132.466537
木山産婦人科クリニック,730-0036,"広島県広島市中区袋町４－３ 滝口ビル３
階",082-544-3155,http://kiyama-c.com/,有,"月・火・水・金9:00-13:00,14:30-18:00/木9:00-13:00/土
9:00-12:30,14:00-17:00",有,広島県,広島市中区,34.392139,132.458237
"医療法人社団はつき会 井槌産婦人
科",730-0017,広島県広島市中区鉄砲町９番２４号,082-221-1684,http://www.izuchi-clinic.jp,有,"平日（月・火・木・金）10:00-18:30/土曜10:00-17:00/月１
回第１日曜日10:00-13:00（変更あり・要確認）",有,広島県,広島市中区,34.394791,132.465012
医療法人 中川産科婦人科医院,730-0802,広島県広島市中区本川町二丁目１番１６号,082-231-2832,http://www.nakagawa.or.jp,有,"月～金9:00-12:30,15:00-17:30
土9:00-12:30,14:30-17:00",有,広島県,広島市中区,34.397518,132.451767
さだもりレディースクリニック,730-0051,"広島県広島市中区大手町２丁目７番２号
Ｂａｌｃｏｍ大手町ビル ４Ｆ",082-242-1132,http://www.sadalc.cc,有,"月・火・木・金10:00-13:00,15:00-17:30/水・土10:00-
12:00 初診は診療終了の30分前迄の受付が必要。土曜日は
事前予約した方のみの完全予約制",有,広島県,広島市中区,34.392403,132.456451
"医療法人社団 女性クリニック ラ
ポール",730-0051,広島県広島市中区大手町５丁目 ３－１,082-241-6009,"http://www.women-rapport-
clinic.com",有,"月・木9:00-13:00,15:00-19:30/火・金・土9:00-
13:00,15:00-18:00 水・日曜・祝日休診",有,広島県,広島市中区,34.384727,132.451523
"医療法人社団 明樟会 広島女性ク
リニック",730-0029,"広島県広島市中区三川町１－２０ ピンクリ
ボン３９ビル４Ｆ",082-249-3900,"http://www.hiroshimabreastcenter.c
o.jp/fujin/",有,"月9:00-12:00,15:00-18:00/火・水9:00-13:00,15:00-18:00/
金9:00-13:00/土9:00-11:00",有,広島県,広島市中区,34.390705,132.462738
"医療法人社団秋月会 広島中央通り
香月産婦人科",730-0029,"広島県広島市中区三川町７－１香月メディ
カルビル６F",082-546-2556,https://www.katsuki-medical.com/,有,"月・火・木・金8:30-18:30/水・土9:00-12:00,14:00-17:00",有,広島県,広島市中区,34.389839,132.462143
ＪＲ広島病院,732-0057,広島県広島市東区二葉の里３－１－３６,082-262-1171,,有,"平日9:00-11:30,13:00-15:00",無（院外処方のみ対応）,広島県,広島市東区,34.401321,132.477203
"医療法人社団 日の浦会 佐々木産
婦人科",732-0009,広島県広島市東区戸坂千足２丁目９－２５,082-229-4008,https://www.sasaki-lcl.com,有,"月・火・水・金9:00-13:00,15:00-18:00/木・土9:00-13:00",有,広島県,広島市東区,34.437042,132.485992
医療法人松本クリニック,732-0823,"広島県広島市南区猿猴橋町２－１１ 駅前
クリニックビル５Ｆ",082-264-7711,"http://matsumotowomens-
clinic.webmedipr.jp/",有,"月・火・水・金・土9:30-12:30,14:30-16:00",有,広島県,広島市南区,34.395363,132.475998
澤崎産婦人科,732-0824,広島県広島市南区的場町二丁目２－１５,082-261-2168,http://sawasaki-sanfujinka.com/,有,"月・火・水・金9:00-12:30,15:00-18:00/木9:00-12:30/土
9:00-12:30,15:00-17:00",有,広島県,広島市南区,34.392475,132.474564
新甲さなえ女性クリニック,732-0814,"広島県広島市南区段原南１－３－５３
イーストビル ２階",082-568-2234,http://www.sanae-clinic.com,有,"月・火・水・金10:00-13:00,15:00-18:00/土10:00-15:00",有,広島県,広島市南区,34.385925,132.475906
母と子のまきクリニック,732-0828,"広島県広島市南区京橋町２－２４ ロイヤ
ルエイト広島駅前３Ｆ",082-264-1105,https://www.motherandfetusmc.com,有,"月・火・木・金・土9:30-12:30,13:30-18:00",有,広島県,広島市南区,34.395546,132.472244
医療法人社団 鈴峰今中医院,733-0842,広島県広島市西区井口４－２－３１,082-277-1223,http://www.kawamura.gr.jp,有,"月・火・水・金9:00-12:00,15:00-18:00/ 木・土9:00-12:00",有,広島県,広島市西区,34.368992,132.374573
松尾産婦人科内科医院,733-0003,広島県広島市西区三篠町１－５－７,082-237-1506,http://www.ccv.ne.jp/home/pinetree,有,"月・火・水・金9:00-12:30,15:30-19:00/木・土9:00-12:30",有,広島県,広島市西区,34.41156,132.452881
医療法人社団秋月会 香月産婦人科,733-0812,"広島県広島市西区己斐本町２丁目１４番２
４号",082-272-5588,http://www.katsuki-clinic.com,有,"月・火・水・金8:00-11:00,14:00-16:00/木8:00-11:00/土
8:00-11:45 （新規の患者様は受付時間15分前までの受付と
させていただきます）",有,広島県,広島市西区,34.393341,132.426041
