施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
徳島市民病院,７７０－０８１２,徳島県徳島市北常三島町２丁目３４,０８８－６２２－５１２１,http://www.city.tokushima.tokushima.jp/siminbyoin/,有,２４時間,有,徳島県,徳島,,34.082062,134.562668
徳島県立三好病院,７７８－８５０３,徳島県三好市池田町シマ８１５番地２,０８８３－７２－１１３１,http://www.miyoshi-hosp.jp/,有,平日8時30分～17時15分,有,徳島県,三好市,36208,34.028446,133.817841
美馬とし子レディースクリニック,７７０－０９２１,徳島県徳島市栄町２の１５,０８８－６５３－１９１２,,有,"平日9時～12時30分、15時30分～18時（水曜日 午後休み）
土曜日9時～12時30分 15時30分～17時",有,徳島県,徳島,,34.064327,134.548889
なかたに産婦人科,７７９－３２３３,徳島県名西郡石井町石井字石井５５４－７,０８８－６７４ー１２９５,https://www.nakatani1103.com/,有,"平日9時30分～12時、14時30分～18時（水曜日 午後休み）
土曜日9時30分～12時 14時30分～1６時３０分",有,徳島県,名西郡石井町,36341,34.070229,134.447815
秦産婦人科内科,７７１－１２１１,徳島県板野郡藍住町徳命１４０ー２,０８８－６９２ー５７５８,,有,月曜日～土曜日 8時～18時,有,徳島県,板野郡藍住町,36403,34.113438,134.492294
西条産婦人科,７７９－３７４２,徳島県美馬市脇町字西赤谷２０４,０８８３－５２－２００２,www.saijo-obgy.com,有,月、火、木、金曜日 10時～16時 水、土曜日 10時～13時,有,徳島県,美馬市,36207,34.068275,134.182053
伊月健診クリニック,７７０－０９１１,徳島県徳島市東船場町１丁目８番地,０８８－６５３－２３１５,http://www.itsukikenshin.jp/,有,火、金、第１・３・５土曜日 9時～17時,有,徳島県,徳島,,34.070042,134.548691
木下産婦人科内科医院,７７４－００１４,徳島県阿南市学原町上水田11－7,０８８４－２３－３６００,,有,"平日9時～12時、14時～17時30分（第２・４木曜日 9時～12時
第１・３・５木曜日休診） 土曜日9時～12時 14時～15時30
分",有,徳島県,阿南市,36204,33.911213,134.663345
中山産婦人科,７７１－１２２１,徳島県板野郡藍住町東中富字長江傍示５－６,０８８－６９２－０３３３,,有,"平日・土曜日9時～12時30分 15時～18時30分 日・祝日 10
時～11時",有,徳島県,板野郡藍住町,36403,34.128536,134.477249
春名産婦人科,７７０－８０６３,徳島県徳島市南二軒屋町１ー２ー５５,０８８－６５２－２５３８,,有,"月、火、水、金曜日 9時～12時30分 15時～18時30分 土曜
日 9時～12時30分 15時～17時",有,徳島県,徳島,,34.056141,134.545197
メイプルクリニック高橋産婦人科,７７０－０８６８,徳島県徳島市福島二丁目２番８号,０８８－６５２ー７０７７,,有,平日9時～18時（木曜日9時～12時30分） 土曜日9時～18時,有,徳島県,徳島,,34.071281,134.567932
レディースクリニック兼松産婦人科,７７２－０００３,徳島県鳴門市撫養町南浜字東浜６０１,０８８－６８５－１１０３,kanematu-clinic.jp,有,"月、火、水、金、土曜日 9時～18時30分 木曜日 9時～12時
30分",有,徳島県,鳴門市,36202,34.175365,134.607635
