施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
沼本産婦人科医院,760-0058,香川県高松市東田町4-8,087-831-7062,―,有,"月・火・木・金9:00～12:30 14:00～18:00
水・土9:00～12:30 他の時間帯でも対応可",有,香川県,高松市,37201,34.335632,134.050079
"医療法人社団 啓里会
かわさきレディースクリ
ニック",760-0017,香川県高松市番町３丁目19-15,087-802-5525,―,有,"月・火・木・金9:00～12:30 15:00～18:00
水・土9:00～12:30",有,香川県,高松市,37201,34.342735,134.038635
ひらの産婦人科医院,763-0082,香川県丸亀市土器町東四丁目763,0877-24-6611,www.hirano-sanfujinka.com,有,"月・火・水・金9:00～12:00 15:00～18:00
木・土9:00～12:00",有,香川県,丸亀市,37202,34.293007,133.818649
"医療法人社団 はらだ産
婦人科医院",761-8063,香川県高松市花ノ宮町１丁目5-30,087-837-1611,―,有,"平日9:00～17:30 水・木は9:00～13:00
土9:00～16:00",有,香川県,高松市,37201,34.326366,134.049667
"医療法人社団 安原クリ
ニック",761-8072,香川県高松市三条町321-2,087-866-1111,http://yasuhara-maternity.com,有,"月・火・木・金8:30～12:30 13:30～17:30
土・日8:30～12:30
盆、年末年始はお問い合わせ下さい。祝日は休
診。",有,香川県,高松市,37201,34.316196,134.047852
"医療法人社団大仁会 も
りの木おおにしクリニッ
ク",768-0073,香川県観音寺市茂西町１丁目6-3,0875-25-3291,―,有,月～土9:00～13:00,有,香川県,観音寺市,37205,34.132915,133.65625
"医療法人社団豊南会 香
川井下病院",769-1613,香川県観音寺市大野原町花稲818-1,0875-52-22h1t5tp:,//www.kagawa-inoshita-hospital.,or.jp 有,"月～水・金・土9:00～12:00 14:00～17:15
木曜9:00～12:00 ※日・祝日 休診",有,香川県,観音寺市,37205,34.094917,133.644989
杉上産婦人科医院,761-1703,香川県高松市香川町浅野1026-5,087-879-6969,https://sugiue-obgyn.jp,有,"月・火・水・金・土9:00～12:00 14:00～
18:00",有,香川県,高松市,37201,34.256191,134.034912
和田産婦人科医院,760-0080,香川県高松市木太町4020-1,087-867-2340,―,有,"月・火・水・金9:00～12:30 14:00～18:00
木・土9:00～12:30",有,香川県,高松市,37201,34.319786,134.080307
"医療法人 安藤レディー
スクリニック",761-8075,香川県高松市多肥下町1524-14,087-815-2833,andolc.sakura.ne.jp,有,"月・火・金9:00～12:00 14:30～18:30
水9:00～12:00 土9:00～13:00
第２・第４日曜日 9:00～12:30",有,香川県,高松市,37201,34.305195,134.061081
