施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
公立学校共済組合四国中央病院,799-0193,愛媛県四国中央市川之江町2233,0896-58-3515,http://www.shikoku-ctr-hsp.jp/,有,24時間対応可能,有,愛媛県,四国中央市,38213,34.010975,133.581512
社会医療法人石川記念会ＨＩＴＯ病院,799-0112,愛媛県四国中央市上分町788-1,0896-58-2222,http://hitomedical.co-site.jp/,有,"月・金 9：30～11：30、15：00
～16：30
火・水・木・第1土・第3土 9：
30～11：30",有,愛媛県,四国中央市,38213,33.99065,133.586411
いのうえレディースクリニック,799-0405,愛媛県四国中央市三島中央４丁目４番４号,0896-23-3651,,有,"月・火・木・金 10：00～13：00
15：00～18：30
水 15：00～18：30
土 10：00～13：00",有,愛媛県,四国中央市,38213,33.979416,133.540314
鎌田産婦人科,792-0896,愛媛県新居浜市阿島1丁目1番56号,0897-45-3800,,有,"月～水9：00～13：00、14：00～
18：00
金～土9：00～13：00、14：00～
18：00
木、日、祭日 休み",有,愛媛県,新居浜市,38205,33.976971,133.352844
新谷ウイメンズクリニック,792-0025,愛媛県新居浜市一宮町1丁目12-56,0897-37-2688,https://swcl.jp/,有,"月、金 9：00～13：00、15：00
～18：30
水 9：00～13：00、16：00～
18：30
火、木、土 9：00～13：00",有,愛媛県,新居浜市,38205,33.959793,133.283371
医療法人サカタ産婦人科,793-0006,愛媛県西条市下島山甲1453,0897-55-1103,https://sakata-mc.com/,有,"平日9：00～18：00
木曜9：00～12：00
土曜9：00～16：00",有,愛媛県,西条市,38206,33.930359,133.204285
医療法人こにしクリニック,792-0811,愛媛県新居浜市庄内町1-13-35,0897-33-1135,http://www.konishi-clinic.jp/,有,"月、火、水、金曜日8:30-17:00
土曜日8:30-16:30",有,愛媛県,新居浜市,38205,33.955139,133.2883
一般財団法人積善会十全総合病院,792-8586,愛媛県新居浜市北新町1番5号,0897-33-1818,https://jyuzen.jp/,有,"月・水・金曜日8:45-16:00
火・木・土曜日8:45-12:00
※土曜日は第1・3・5週のみ",有,愛媛県,新居浜市,38205,33.959061,133.274094
独立行政法人労働者健康安全機構 愛媛労災病院,792-8550,愛媛県新居浜市南小松原町13-27,0897-33-6191,https://www.ehimeh.johas.go.jp/,有,"平日 8:15-17:00
（上記以外の時間外対応、休日対
応可、24時間対応）",無,愛媛県,新居浜市,38205,33.974522,133.291885
社会医療法人 同心会 西条中央病院,793-0027,愛媛県西条市朔日市８０４番地,0897-56-0300,https://www.saijo-c-hospital.jp/,有,"平日 8:30-17:15
第2・第4土曜日 8:30-13:00
・次の日中までに72時間を超える
場合は対応できない。
・12/30ー1/3と婦人科常勤医師が
不在時は対応できない。",有,愛媛県,西条市,38206,33.9291,133.181473
きら病院,794-0028,愛媛県今治市北宝来町１丁目３－５,0898-31-5711,http://kirahp.jp/,有,"月火水金土曜9:00～13:00 15:00
～18:00
日曜10:00～13:00(祝日と連休に
なる日曜日は休診)",有,愛媛県,今治市,38202,34.064217,132.996033
医療法人社団日浅産婦人科医院,794-0821,愛媛県今治市立花町３－７－３０,0898-24-1135,http://www.hiasa.jp/,有,"月水金曜9:00～13:00 15:00～
18:00
日火曜9:00～13:00",有,愛媛県,今治市,38202,34.04953,132.998718
梅の木中医学クリニック,794-0112,愛媛県今治市玉川町小鴨部甲３５－１,0898-55-2820,http://www.umenoki-c.sakura.ne.jp/,有,"月火水金曜9:30～12:30 16:00～
19:00
木曜9:30～12:30
土曜9:30～13:00",有,愛媛県,今治市,38202,34.014088,132.966537
