施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
あき総合病院 掲載,784-0027,高知県安芸市宝永町3-33,0887-34-3111,http://www.pref.kochi.lg.jp/aki/,有,平日 ８：３０～１５：３０,有,高知県,安芸市,39203,33.505943,133.897995
浅井産婦人科・内科,781-8132,高知県高知市一宮東町1-7-7,088-846-3131,,有,"平日 ８：３０～１７：００
木 ８：３０～１２：００
土 ８：３０～１５：００",有,高知県,高知市,39201,33.580479,133.575897
梅原産婦人科,781-0253,高知県高知市瀬戸南町2-1-10,088-842-0700,,有,"平日（月・火）９：００～１８：００
（水・金）９：００～１９：００
土 ９：００～１８：００
日 ９：００～１２：００",有,高知県,高知市,39201,33.508877,133.544144
高知大学医学部附属病院,783-8505,高知県南国市岡豊町小蓮185-1,088-880-2383,"http://www.kochi-
u.ac.jp/kms/hsptl/index.html",有,"月・火・木
９：００～１１：００",有,高知県,南国市,39204,33.594589,133.614716
"高知県・高知市病院企業団立高
知医療センター",781-8555,高知県高知市池2125-1,088-837-3000,https://www2.khsc.or.jp,有,常時（夜間休日は対応困難な場合あり）,有,高知県,高知市,39201,33.533272,133.585495
高知県立幡多けんみん病院,788-0785,高知県宿毛市山奈町芳奈3-1,0880-66-2222,http://www.pref.kochi.lg.jp/hata/,有,平日 ８：３０～１７：００,有,高知県,宿毛市,39208,32.965355,132.805847
国見産婦人科,780-0870,高知県高知市本町4-2-30,088-822-5954,www13.plala.or.jp/kunimi_baby/,有,"月・火・木・土 ９：００～１３：００
１５：００～１７：００
水・日 休",有,高知県,高知市,39201,33.557362,133.532623
高須どい産婦人科,781-8104,高知県高知市高須2-18-17,088-882-1228,http://takasudoi.com/,有,"平日 ８：３０～１２：００
１４：００～１６：００
水曜日 ８：３０～１２：３０
火・木 １７：００～１８：００診療しています",有,高知県,高知市,39201,33.560413,133.590042
田村産婦人科,780-0862,高知県高知市鷹匠町1-1-10,088-823-1110,info@tamura.or.jp,有,"平日 ９：００～１７：２０
土曜 ９：００～１７：００
祝祭日 ９：００～１１：３０",有,高知県,高知市,39201,33.55624,133.537125
愛宕病院,780-0051,高知県高知市愛宕町1丁目1番13号,088-823-3301,http://atago-hp.or.jp,有,"平日 ８:００～１７：００
土曜 ８:００～１１:００",有,高知県,高知市,39201,33.565369,133.536972
小林レディスクリニック,780-8018,高知県高知市竹島町13-1うしおえﾒﾃﾞｨｶﾙﾋﾞﾙｲｰｱ3F,088-805-1777,https://koba-lc.gr.jp,有,"月・火・木・金 ９：１５～１２：４５
１５：００～１８：４５
水 ９：１５～１２：４５
土 ９：１５～１２：４５
１５：００～１６：１５",有,高知県,高知市,39201,33.542858,133.542542
にこにこレディスクリニック,780-8085,高知県高知市大谷公園町16-30,088-840-2525,,有,"月・火・木・金 ９：００～１９：００
水 ９：００～１３：００
土 ９：００～１７：００",有,高知県,高知市,39201,33.534546,133.481689
はまだ産婦人科,781-8104,高知県高知市高須3丁目1-28,088-882-0777,www.hamada-hp.or.jp,有,"平日 ９：００～１８：００
木 ９：００～１２：３０
土 ９：００～１６：００",有,高知県,高知市,39201,33.562771,133.589386
レディスクリニックコスモス,780-0072,高知県高知市杉井流6番27号,088-861-6700,www.lccosmos.jp,有,"（平日・土）９：００～１８：００
（水）９：００～１３：００",有,高知県,高知市,39201,33.569466,133.554886
内田産婦人科,780-0985,高知県高知市南久万39-2,088-873-0010,,有,"月・火・水・金 ９：００～１２：００
１４：００～１６：３０
木・土 ９：００～１２：００",有,高知県,高知市,39201,33.570068,133.520889
毛山病院,780-0806,高知県高知市知寄町1丁目2-2,088-883-0515,https://keyama-clinic.com,有,"月～水・金 ８：３０～１７：３０
木 ８:３０～１３：００
土 ８：３０～１６：３０",有,高知県,高知市,39201,33.559536,133.556976
山﨑病院,781-1301,高知県高岡郡越知町越知甲2041-3,0889-26-1123,yamasaki@yamasaki.or.jp,無,"平日 ８：３０～１７：３０
土曜 ８：３０～１２：３０",有,高知県,高岡郡越知町,39403,33.532627,133.250687
