施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
医療法人 原三信病院,812-0033,福岡県福岡市博多区大博町１－８,092-291-3434,https://www.harasanshin.or.jp,有,平日9：00～16：00,有,福岡県,福岡市,33.601639,130.405167
"医療法人大成会 福岡記念
病院",814-8525,福岡県福岡市早良区西新１－１－３５,092-821-4731,http://www.kinen.jp/,有,"平日8：30～17：00
土8：30～12：00",有,福岡県,福岡市,33.585087,130.362473
"医療法人社団水光会 宗像
水光会総合病院",811-32098,福岡県福津市日蒔野５－７－１,0940-34-3111,http://www.suikokai.or.jp/,有,"平日・土曜8：30～18：00
（夜間・休日も対応可能の場合あり）",有,福岡県,福津市,33.761024,130.491592
有松病院,820-0206,福岡県嘉麻市鴨生８２４,0948-42-1108,http://www.mediqube.com/arimatsu/usr/pc/,有,"月・火・水・金・第2土・第4土
9：00～17：30
水・第1土・第3土・第5土9：00～12：30",有,福岡県,嘉麻市,33.609108,130.724289
社会保険田川病院,826-8585,福岡県田川市大字上本町１０－１８,0947-44-0460,http://www.s-tagawa-hp.tagawa.fukuoka.jp/,有,平日8：30～17：00,有,福岡県,田川市,33.624187,130.798813
田川市立病院,825-8567,福岡県田川市大字糒1７００－２,0947-44-2100,http://hospital.city.tagawa.fukuoka.jp/,有,"平日8：30～11：00
（上記以外の場合は要相談）",有,福岡県,田川市,33.660782,130.798996
"独立行政法人地域医療機能
推進機構 久留米総合病院",830-0013,福岡県久留米市櫛原町２１,0942-33-1211,https://kurume.jcho.go.jp,有,平日8：00～17：00,有,福岡県,久留米市,33.318832,130.513504
宮部病院,829-0311,福岡県築上郡築上町大字湊３３６,0930-56-0038,ー,有,"平日9：00～17：00
土9：00～12：30",有,福岡県,築上郡築上町,33.651657,131.064209
"健和会
大手町病院",803-8534,"福岡県北九州市小倉北区大手町１５－
１",093-592-5511,https://otemachi.kenwakai.gr.jp/,有,24時間,有,福岡県,北九州市,33.875828,130.871414
"地方独立行政法人北九州市
立病院機構 北九州市立八
幡病院",805-8534,"福岡県北九州市八幡東区尾倉２－６－
２",093-662-6565,https://www.kitakyu-cho.jp/yahata/,有,平日8：30～17：00,有,福岡県,北九州市,33.864655,130.796036
エンゼル病院,807-0828,"福岡県北九州市八幡西区友田１－１１
－１",093-601-3511,http://www.angel-wh.jp/,有,"平日8：30～17：00
土8：30～13：00",有,福岡県,北九州市,33.867657,130.725342
"医療法人社団わかば会 和
白ヶ丘レディースクリニッ
ク",811-0213,福岡県福岡市東区和白丘２ー２ー４５,092-605-3511,http://www.w-lc.net/,有,"平日9：00～18：00
土9：00～13：00",有,福岡県,福岡市,33.693115,130.433426
"医療法人 青葉レディース
クリニック",813-0036,福岡県福岡市東区若宮５ー１８ー２１,092-663-8103,http://aoba-ladies.jp,有,24時間,有,福岡県,福岡市,33.64278,130.441223
"医療法人エスダブリュシー
真田産婦人科麻酔科クリ
ニック",813-0044,福岡県福岡市東区千早６ー６ー１６,092-681-0177,http://www.sanada-cl.com/,有,24時間,有,福岡県,福岡市,33.657177,130.439453
"医療法人エスエイエム 原
田レディースクリニック",812-0041,福岡県福岡市博多区吉塚２ー４－３,092-621-3116,ー,有,"月・木・金9：00～13：00、
14：00～16：00
火・土9：00～13：00",有,福岡県,福岡市,33.604286,130.425598
"産婦人科まつやまクリニッ
ク",812-0025,"福岡県福岡市博多区店屋町４－１６土
屋ビル４F",092-282-6622,ー,有,"平日（木除く）10：00～12：30、
14：30～17：30
土10：00～12：30、14：30～16：30",有,福岡県,福岡市,33.595142,130.408936
千代診療所,812-0044,"福岡県福岡市博多区千代５ー１１－３
８",092-651-0726,ー,有,"平日8：00～11：30、
12：30～16：00
土8：00～11：30",無,福岡県,福岡市,33.606804,130.410202
博多セントラルクリニック,812-0037,"福岡県福岡市博多区御供所町１－９
博多セントラルビル２Ｆ",092-263-7121,https://hakata-central.jp/,有,"平日10：00～13：00、
14：30～17：30
土（第2、第4のみ）10：00～12：30",有,福岡県,福岡市,33.594238,130.414703
博多レディスクリニック,812-0011,"福岡県福岡市博多区博多駅前４ー３－
１ イルハグランデ１階",092-474-5700,ー,有,"平日10：00～14：00、
16：00～18：00
土10：00～13：00",有,福岡県,福岡市,33.586468,130.417282
福岡大学博多駅クリニック,812-0012,"福岡県福岡市博多区博多駅中央街９－
１ KITTE博多８階",092-435-1011,https://www.fumc.fukuoka-u.ac.jp/,有,火・水・木10：00～14：00,無,福岡県,福岡市,33.58884,130.419357
福嶋クリニック,812-0041,"福岡県福岡市博多区吉塚１ー１４－２
３",092-621-8866,http://www.fukushima-clinic.jp/,有,"平日9：00～17：30
土9：00～12：30",有,福岡県,福岡市,33.603203,130.423096
森田レディスクリニック,812-0894,"福岡県福岡市博多区諸岡１ー２３－１
９",092-588-7611,https://www.morita-ladiesclinic.com/,有,"平日（木曜は午前のみ）
9：30～12：00、14：00～17：30
土9：30～14：30",有,福岡県,福岡市,33.561718,130.446991
郁レディースクリニック,810-0023,"福岡県福岡市中央区警固２ー１７ー３
０",092-406-3019,http://iku-ladiesclinic.com/,有,"平日（木休診）9：30～12：30、
15：30～18：30
土9：30～12：30、14：00～15：30
（木・日祝休診）",有,福岡県,福岡市,33.584263,130.390106
大濠パーククリニック,810-0051,福岡県福岡市中央区大濠公園２ー３５,092-724-5520,http://www.ohori-pc.jp/,有,"月・火・水・金10：00～18：30
木14：00～18：30
土10：00～14：30",有,福岡県,福岡市,33.590088,130.376312
"医療法人 ガーデンヒルズ
ウィメンズクリニック",810-0033,"福岡県福岡市中央区小笹５ー１５ー２
１",092-521-7500,https://www.gardenhill.jp,有,24時間,有,福岡県,福岡市,33.568096,130.390778
"かねまるウィメンズクリ
ニック",810-0001,"福岡県福岡市中央区天神２ー３ー２
天神アイエスビル５F",092-738-3033,https://k-womens-cl.jp/,有,"月・火・木9：45～17：00
金9：45～12：30
土9：30～17：00
※水・金（午後）・日・祝日休診",有,福岡県,福岡市,33.587021,130.398972
"古賀文敏ウイメンズクリ
ニック",810-0001,"福岡県福岡市中央区天神２ー３ー２４
天神ルーチェ５Ｆ",092-738-7711,https://www.koga-f.jp/,有,"平日（月・火・木・金）10：00～12：30、
15：30～18：30
平日（水）10：00～12：30
土10：00～12：30、15：30～16：30",有,福岡県,福岡市,33.58707,130.397598
"医療法人 さのウィメンズ
クリニック",810-0062,"福岡県福岡市中央区荒戸１ー１ー６
福岡大濠ビル２Ｆ",092-739-1717,http://www.sano-wq.net/,有,"平日（水・木除く）9：00～18：00
水・木・土9：00～13：00",有,福岡県,福岡市,33.590328,130.37825
莊田レディースクリニック,810-0001,"福岡県福岡市中央区天神１ー１５ー６
綾杉ビル３Ｆ",092-732-0018,http://www.shoda-lc.com/,有,"月・火・木・金10：00～19：00
水・土10：00～13：30",有,福岡県,福岡市,33.592129,130.40181
"医療法人 中央レディスク
リニック",810-0001,福岡県福岡市中央区天神２ー４ー３８,092-736-3355,ー,有,"月・火・水・金10：00～19：00
木・土10：00～17：00",有,福岡県,福岡市,33.587856,130.398758
天神レディースクリニック,810-0001,"福岡県福岡市中央区天神２ー６ー１３
ジェムキャッスルきらめき通り４階",092-738-8806,https://tenjin-ladies-clinic.com/,有,"月・火・木10：00～20：30
水・金・土・日10：00～18：30",有,福岡県,福岡市,33.589081,130.396912
"医療法人愛成会 東野産婦
人科医院",810-0045,"福岡県福岡市中央区草香江２ー２ー１
７",092-731-3871,ー,有,"平日9：00～17：00
土9：00～12：00",有,福岡県,福岡市,33.576824,130.37529
野崎ウイメンズクリニック,810-0001,"福岡県福岡市中央区天神１ー９ー１
７ー６F福岡天神フコク生命ビル",092-733-0002,http://www.nozakiwomens.com/,有,"平日9：00～16：00
木・土9：00～13：00",有,福岡県,福岡市,33.590885,130.401703
"はちすが産婦人科小児科医
院",810-0005,福岡県福岡市中央区清川３ー２０ー９,092-531-0282,http://hachisuga-c.com,有,"平日（木除く）9：00～11：30、14：00～16：30
木・土9：00～11：30",有,福岡県,福岡市,33.577049,130.413147
林産婦人科医院,810-0012,福岡県福岡市中央区白金２ー３ー１４,092-521-8520,http://hayashi-lc.com,有,"月・火・水・金10：30～18：30
土10：30～14：00",有,福岡県,福岡市,33.577183,130.406677
森レディースクリニック,810-0011,福岡県福岡市中央区高砂１ー４ー３,092-521-5868,http://mori-lc.net/,有,"月・火・水・金10：00～17：30
木・土10：00～14：00",有,福岡県,福岡市,33.581577,130.406464
安藤レディスクリニック,811-1311,福岡県福岡市南区横手２ー３ー１,092-501-1522,ー,有,"平日（火除く）10：00～13：30、
16：00～19：30
土10：00～13：30、
16：00～17：30",有,福岡県,福岡市,33.550701,130.437744
"医療法人紫雲会 桃崎レ
ディースクリニック",815-0032,福岡県福岡市南区塩原３ー１７ー５,092-557-2111,ー,有,"平日（木除く）9：30～13：00、15：00～18：30
土9：30～13：00
※木・日休診",有,福岡県,福岡市,33.561825,130.428558
