施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
あいウーマンズクリニック,850-0036,長崎県長崎市五島町5-38 五島町中村ビル1Ｆ,095-818-5318,https://www.ai-woman.jp/,有,"月、火、水、金 9:00～13:00、14:30～19:00
木 9:00～13:00
土 9:00～17:00",有,長崎県,長崎市,42201,32.747929,129.872604
いまむらウィミンズクリニック,850-0918,長崎県長崎市大浦町1-26,095-824-2075,http://imamura-womens-clinic.com/,有,"月、火、水、金 9:00～12:30、14:00～18:00
木、土 9:00～13:00
※再診においてはこの限りではない",有,長崎県,長崎市,42201,32.737907,129.871017
岡本ウーマンズクリニック,850-0861,長崎県長崎市江戸町7-1,095-820-2864,https://www.okamotoclinic.gr.jp/,有,"月、火、水、木、金 9:00～18:00
土 9:00～13:00",有,長崎県,長崎市,42201,32.744549,129.874725
奥田産婦人科医院,852-8117,長崎県長崎市平野町11-9,095-844-0489,,有,"月、水、金 9:00～12:30、14:00～18:00
火、木、土 9:00～12:30",有,長崎県,長崎市,42201,32.76976,129.865753
医療法人 小濱産婦人科医院,850-0902,長崎県長崎市丸山町1-5,095-822-1847,http://www.obama-obgy-clinic.net/,有,"月、火、水、金 9:00～12:00、14:00～18:00
木、土 9:00～12:00",有,長崎県,長崎市,42201,32.74139,129.880081
医療法人 倉田醫院内科婦人科,852-8125,長崎県長崎市小峰町3-6,095-843-8211,,有,"月、火、水、金 9:00～18:00
木 9:00～12:30
土 9:00～14:00",有,長崎県,長崎市,42201,32.782185,129.871002
医療法人 しもむら産婦人科,850-0851,長崎県長崎市古川町8-11,095-821-3541,,有,"月、木、金 9:00～12:00、14:00～18:00
火、水、土 9:00～14:00",有,長崎県,長崎市,42201,32.746349,129.881226
杉田レディースクリニック,852-8118,長崎県長崎市松山町3-94,095-849-3040,https://sugita-lc.jp/,有,"月、火、水、金 9:00～11:30、14:00～17:30
木 9:00～11:30
土 9:00～13:00",有,長崎県,長崎市,42201,32.774166,129.862274
高尾産婦人科医院,852-8061,長崎県長崎市滑石４丁目3-36,095-856-0697,,有,"月、火、水、木、金 9:00～12:00、14:00～18:00
土 9:00～13:00",有,長崎県,長崎市,42201,32.806911,129.832245
医療法人 宝マタニティクリニック,857-0116,長崎県長崎市東町1732-1,095-838-7117,https://takaramaternity.com/,有,"常時対応可能
※通常診療時間外は割増料金有",有,長崎県,長崎市,42201,32.777569,129.954849
花みずきレディースクリニック,852-8154,長崎県長崎市住吉町13-16,095-841-7122,http://www.hanamizuki.info/,有,"月、火、木、金 9:00～12:00、15:00～18:00
水 9:00～12:00
土 9:00～13:00",有,長崎県,長崎市,42201,32.793369,129.860458
医療法人 藤田クリニック,850-0031,長崎県長崎市桜町7-1,095-834-7700,,有,"月、火、金 9:00～17:30
水、木、土 9:00～12:30",有,長崎県,長崎市,42201,32.749405,129.877792
医療法人 渕レディスクリニック,850-0871,長崎県長崎市麹屋町2-16,095-822-1103,http://fuchi-ladies.or.jp/,有,"月、火、水、木、金 9:00～18:00
土 9:00～14:00",有,長崎県,長崎市,42201,32.748707,129.883102
"医療法人高翠会
まつお産科・婦人科クリニック",852-8126,長崎県長崎市石神町1-19,095-845-1721,http://www.matsuo.justhpbs.jp/,有,"月、火、水、金 9:00～11:00、15:00～17:00
木、土 9:00～11:00",有,長崎県,長崎市,42201,32.782993,129.871292
医療法人鶴泉会 牟田産婦人科,850-0852,長崎県長崎市万屋町6-32,095-823-7148,https://www.mutasanfujinka.com/,有,"月、火、水、金 9:00～13:00、14:00～19:00
木、土 9:00～13:00",有,長崎県,長崎市,42201,32.74456,129.879959
もとむら産婦人科医院,850-0892,長崎県長崎市江川町542-1,095-879-1307,,有,"月、火、木、金 9:00～18:00
水 9:00～12:00
土 9:00～13:00",有,長崎県,長崎市,42201,32.682339,129.844925
やすひウィメンズ・ヘルスクリニック,850-0841,長崎県長崎市銅座町2-15 ＮＫイリスビル5Ｆ,095-825-9700,http://www.y-yasuhi.com/,有,"月、火、水、金 9:00～17:30
木（第1～3） 9:00～16:00
土 9:00～12:30",有,長崎県,長崎市,42201,32.742962,129.875198
"医療法人誠美会
荒木産婦人科診療所",857-0805,長崎県佐世保市光月町4-4,0956-22-5409,,有,"月、火、水、金 9:00～17:00
木、土 9:00～12:30",有,長崎県,佐世保市,42202,33.171467,129.723694
"医療法人哺仁会
一瀬診療所（通称 一瀬産婦人科）",857-0871,長崎県佐世保市本島町1-11,0956-22-8082,https://iog.jp/,有,"月、火、水、金 9:00～17:30
土 9:00～12:30",有,長崎県,佐世保市,42202,33.171368,129.722519
"医療法人ＴＯＧ
つきやま産婦人科",857-0804,長崎県佐世保市光月町1-23,0956-22-5913,http://www.tsukiyama-obgyn.com/,有,"月、火、水、金 9:00～12:30、14:00～17:30
木、土 9:00～12:30",有,長崎県,佐世保市,42202,33.171619,129.723495
