施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"ウィメンズクリニック
グリーンヒル",861-8043,熊本県熊本市東区戸島西３－１－１００,096-360-5511,http://www.w-greenhill.jp/,有（産婦人科）,"月・火・木・金
（9:00-12:00、14:00-19:00）
土（9:00-12:00、15:00-18:00）",有,熊本県,熊本市東区,43102,32.813198,130.782288
"みやはらレディース
クリニック",860-0047,熊本県熊本市西区春日７丁目２１－１５,096-325-1107,https://miyahara-lc.jp,有,月・火・水・金・土（9:00-18:00),有,熊本県,熊本市西区,43103,32.78458,130.679047
米田産婦人科医院,861-1331,熊本県菊池市隈府４９７－１,0968-25-2589,なし,有,"平日：8:30-18:30
土曜：8:30-12:30",有,熊本県,菊池市,43210,32.9795,130.804764
"わせだ直子レディース
クリニック",863-0021,熊本県天草市港町１６３１,0969-24-8711,なし,有,"水・木・金（9:00-17:30)
土（9:00-15:00）
日（9:00-13:00)",有,熊本県,天草市,43215,32.457188,130.197357
"いんでレディース
クリニック",862-0908,熊本県熊本市東区新生２－３－６,096-367-2333,http://www.hiji-in.com/,有,"平日：9:30-18:00
（水：9:30-13:00)
土曜：9:30-16:00",有,熊本県,熊本市東区,43102,32.778679,130.759048
"医療法人 本原会
産科婦人科 本原クリ
ニック",863-0025,熊本県天草市亀場町亀川1962-12,0969-24-1175,http://www.motoharakai.jp/,有,２４時間対応,有,熊本県,天草市,43215,32.441364,130.195221
清田産婦人科医院,861-0135,熊本県熊本市北区植木町一木１７８－４,096-273-4111,https://kiyotaclinic.or.jp/,有,"平日・土曜
8:30-12:30, 14:00-17:30
これ以外の時間帯は電話で対応
後、医師在院中は診察可",有,熊本県,熊本市北区,43105,32.902054,130.690979
片岡産婦人科医院,861-8006,熊本県熊本市北区龍田４丁目３０番４５号,096-339-1103,"http://www010.upp.so-
net.ne.jp/katasan/",有,"月・火・水・木・土
（9:00-13:00)
水（9:00-13:00、14:30-17:00)",有,熊本県,熊本市北区,43105,32.84333,130.754745
愛甲産婦人科麻酔科医院,868-0006,熊本県人吉市駒井田町１９５１,0966-22-4020,http://aikouiin.com/,有,"平日：9:00-13:00、15:30-19:00
土曜：9:00-13:00",有,熊本県,人吉市,43203,32.218189,130.759262
田代産婦人科医院,862-0971,熊本県熊本市中央区大江４丁目５－５,096-362-1414,https://tashiroclinic.jimdo.com/,有,"月・火・水・金・土
（9:00-12:30、14:00-18:00）",有,熊本県,熊本市中央区,43101,32.80299,130.7202
本田レディースクリニック,867-0065,熊本県水俣市浜町３－６－２１,0966-63-2019,"http://www.mediqube.com/honda-
lc/usr/pc/index.php",有,"火・水・木・金
(9:00-12:00,14:30-18:00)
土曜（9:00-12:00、13:30-16:30)",有,熊本県,水俣市,43205,32.212643,130.401352
澁江産科婦人科,861-2118,熊本県熊本市東区花立３丁目２９－２０,096-365-5050,なし,有,"平日：9:00-12:00
土曜：9:00-12:00",有,熊本県,熊本市東区,43102,32.783493,130.774292
