施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
アンジェリッククリニック浦田,870-0933,大分県大分市花津留２丁目１０番２号,097-558-2020,https://www.angelicurata.jp,あり,"月・火・水・金 9:00-12:00
14:00-17:00
木 9:00-12:00
土 9:00-12:00
14:00-15:30",あり,大分県,大分市,44201,33.243736,131.633224
いしい産婦人科醫院,870-0952,大分県大分市下郡北３丁目４３４番地２,097-569-7770,－,あり,"平日（水曜除く） 9:00-18:00
水曜・土曜 9:00-12:00",あり,大分県,大分市,44201,33.229538,131.633194
"医療法人
大川産婦人科病院",870-0027,大分県大分市末広町２－４－１６,097-536-3511,http://www.okawa-hosp.com/,あり,"平日 9:00-12:30、14:30-17:30
土曜 9:00-12:30、14:30-16:30",あり,大分県,大分市,44201,33.235592,131.60347
大川産婦人科・高砂,870-0029,大分県大分市高砂町１番５号,097-532-1135,－,あり,"平日 9:00-12:30、14:30-17:30
土曜 9:00-13:30、14:30-16:30",あり,大分県,大分市,44201,33.237442,131.601852
ひらかわ産婦人科医院,870-0254,大分県大分市横塚２－４－５,097-592-1000,https://hirakawa-oita.jp/,あり,"月・水・木・金 9:00-12:00
14:30-18:00
火・土 9:00-12:00",あり,大分県,大分市,44201,33.242813,131.738983
貞永産婦人科医院,870-0003,大分県大分市生石２－１－１８,097-532-6327,sadanaga-ladies@nifty.com,あり,"平日 9:00-17:30
土曜 9:00-12:30",あり,大分県,大分市,44201,33.245014,131.584167
"医療法人あろは会
さゆりレディースクリニック",870-0165,大分県大分市明野北４丁目１番１号,097-535-7322,http://www.sayuriclinic.jp,あり,"平日 9:00-18:00 水曜のみ9:00-12:30
土曜 9:00:-14:00",あり,大分県,大分市,44201,33.225655,131.656189
"医療法人社団愛育会
曽根崎産婦人科医院",870-0883,大分県大分市大字永興１４９番地の３,097-543-3939,http://www.sonezaki-clinic.com,あり,"9:00-17:00
事前連絡があった方がよい",あり,大分県,大分市,44201,33.220795,131.590805
"医療法人宥和会
大分府内レディースクリニック",870-0021,大分県大分市府内町２－３－２５コスモビル５Ｆ,097-535-1060,https://oita-funai-ladies-clinic.com/,あり,"火・水・木・金 9:00-19:00
（18:30受付終了）
月曜 9:00-13:00（12:30受付終了）
土曜 9:00-17:00（16:30受付終了）",あり,大分県,大分市,44201,33.236336,131.609802
つるさきクリニック,870-0104,大分県大分市南鶴崎２丁目６番５号,097-527-2152,http://www.kakuyukai.com/,あり,"月・火・水・金 8:40-18:00
（昼休み12:30-13:30）
木・土 8:40-12:30",あり,大分県,大分市,44201,33.239185,131.690842
