施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"ひろしま通りウィミンズク
リニック",880-0806,宮崎県宮崎市広島1-16-9,0985-60-7807,http://www.hiroshimadori.com,有,"月～水 8:45～13:00 14:00～18:30
木 14:30～18:30
土 8:45～13:00",有,宮崎県,宮崎市,45201,31.915045,131.426865
"花ヶ島ウィメンズクリニッ
ク",880-0036,宮崎県宮崎市花ヶ島観音免894,0985-25-8883,,有,"月・火・水・金 9:00～17:30
木 14:00～17:30、
土 9:00～12:30",有,宮崎県,宮崎市,45201,31.948854,131.432022
下村産婦人科医院,880-0842,宮崎県宮崎市青葉町155-1,0985-27-0341,http://www.shimomura-s.or.jp/,有,"平日 8:30～17:30
土曜 8:30～12:00",有,宮崎県,宮崎市,45201,31.920988,131.436905
"産科・婦人科クリニックお
おつか",880-0951,宮崎県宮崎市大塚町八所3597-1,0985-50-0003,http://miyazaki-otsuka.com/,有,"平日 8:00～18:00
土曜 8:00～13:00",有,宮崎県,宮崎市,45201,31.916906,131.396301
うえやま貴子クリニック,880-0865,宮崎県宮崎市松山2丁目23-2 2F,0985-60-6676,http://www.ueyamatakako-cl.com/,有,"月・火・水・金 9:00～17:00
木 9:00～12:00、
土 9:00～13:00",有,宮崎県,宮崎市,45201,31.904835,131.428619
"いまむらウィメンズクリ
ニック",880-0812,宮崎県宮崎市高千穂通2丁目5-5 とえだビル2F,0985-31-3908,,有,"平日 9:30～13:00、14:30～19:00
木曜 14:30～19:00
土曜 9:30～13:00、14:00～17:00",有,宮崎県,宮崎市,45201,31.916496,131.428879
"医療法人イシス会 小池レ
ディスクリニック",889-1604,宮崎県宮崎市清武町船引633-5,0985-85-7111,,有,"平日 9:00～18:00
木曜 9:00～12:30
土曜 9:00～15:00",有,宮崎県,宮崎市,45201,31.869452,131.36232
宮崎善仁会病院,880-0834,宮崎県宮崎市新別府町江口950-1,0985-26-1599,,有,"月 13:00～17:00
水・金 9:00～17:00
土 9:00～12:00",無,宮崎県,宮崎市,45201,31.922098,131.453186
神尊産婦人科,880-0916,宮崎県宮崎市恒久5308-1,0985-59-3311,,有,"月・火・木・金
8:30～12:00、14:00～17:00
水・土 8:30～12:00","有
ヤッペ法のみ",宮崎県,宮崎市,45201,31.890995,131.413132
"産科・婦人科大渕クリニッ
ク",880-0805,宮崎県宮崎市橘通東1丁目5-20,0985-24-3808,http://www.obuchi-clinic.com,有,"月・木 9:00～13:00 14:30～20:00
火・金 9:00～13:00 14:30～18:00
土曜 9:00～13:00 14:00～16:00",有,宮崎県,宮崎市,45201,31.907667,131.42215
